similarity_score,name,homepage,description,status,abbreviation,countries,year_created,funder,funder_type,contact_name,contact_email,data_access_condition,publications
0.1832,National Cancer Institute's Genomic Data Commons,https://gdc.cancer.gov/,"The National Cancer Institute’s (NCI’s) Genomic Data Commons (GDC) is a data sharing The National Cancer Institute's Genomic Data Commons (GDC) was created to promote precision medicine in oncology. It supports the import and standardization of genomic and clinical data from cancer research programs. The GDC contains NCI-generated data from some of the largest and most comprehensive cancer genomic datasets, including The Cancer Genome Atlas (TCGA) and Therapeutically Applicable Research to Generate Effective Therapies (TARGET). For the first time, these datasets have been harmonized using a common set of bioinformatics pipelines, so that the data can be directly compared. As a growing knowledge system for cancer, the GDC also enables researchers to submit data, and harmonizes these data for import into the GDC.",ready,NCI GDC,United States,2016,,,GDC Help Desk,support@nci-gdc.datacommons.io,partially open,10.1056/NEJMp1607591
0.1829,BRCA Share,http://www.umd.be/BRCA1/,"BRCA Share is a novel gene datashare initiative that provides scientists and commercial laboratory organizations around the world with open access to BRCA Share (formerly UMD-BRCA1) contains BRCA1 and BRCA2 genetic data. The program’s goal is to accelerate research on BRCA gene mutations, particularly variants of uncertain significance, to improve the ability of clinical laboratory diagnostics to predict which individuals are at risk of developing these cancers.",ready,BRCA Share,"Belgium, France",1995,"European Commission FP7; Institut National de la Sante et de la Recherche Medicale (INSERM), Paris, France",Government body; Research institute,General Contact,BRCAShare@QuestDiagnostics.com,controlled,10.1093/nar/gkp215; 10.1002/(SICI)1098-1004(200001)15:1<86::AID-HUMU16>3.0.CO;2-4; 10.1002/humu.20210; 10.1093/nar/gkr1160; 10.1002/humu.20970; 10.1002/humu.23113
0.1822,Biospecimens/Biorepositories: Rare Disease Hub,http://biospecimens.ordr.info.nih.gov/default.aspx,"The Biospecimens/Biorepositories Website: Rare Disease-HUB (RD-HUB) contains a searchable database of biospecimens collected, stored, and distributed by biorepositories in the United States and around the globe. RD-HUB is designed to help and assist interested parties and investigators search, locate, and identify desired biospecimens needed for the research and to facilitate collaboration and sharing of material and data among investigators across the globe.",deprecated,RD-HUB,United States,,,,,ordr@nih.gov,not found,
0.1821,Human Tumor Atlas Network Portal,https://humantumoratlas.org,"Data portal for the Human Tumor Atlas Network (HTAN). HTAN is a National Cancer Institute (NCI)-funded Cancer Moonshot initiative to construct 3-dimensional atlases of the dynamic cellular, morphological, and molecular features of human cancers as they evolve from precancerous lesions to advanced disease.  Data available on the HTAN Portal is open access. Certain data types with the potential for re-identification are available in restricted access through dbGAP. ",ready,HTAN Portal,United States,2020,,,Ino de Bruijn,debruiji@mskcc.org,open,
0.1821,CHAVI - Comprehensive Archive of Imaging in Oncology,https://chavi.ai,"CHAVI - The Comprehensive Archive of Imaging is the first imaging biobank from India with an exclusive focus on Oncological Imaging. CHAVI was designed as a research collaboration between Tata Medical Center, Kolkata and Indian Institute of Technology, Kharagpur. Researchers, academicians and industry are welcome to collaborate and use the wealth of imaging data available in CHAVI subject to our terms and conditions of use. Please note that all users who would like to download the imaging data available in CHAVI will need to complete a user profile, user agreement form as well as provide us with a brief statement of the purpose for which they would like to use these images. All images have been de-identified but certain sets of images may require additional licensing prior to use. Collaborators who would like to contribute imaging data to CHAVI would be provided with a free copy of the CHAVI de-identification system on premises. ",ready,CHAVI,India,2022,,,CHAVI; Santam Chakraborty,contact@chavi.ai; admin@chavi.ai,controlled,10.1007/s10916-020-01563-0; 10.1007/s10278-021-00476-9; 10.1007/s10278-021-00576-6
0.1804,The Cardiovascular Research Grid,https://www.cvrgrid.org/,"The CardioVascular Research Grid (CVRG) project is creating an infrastructure for sharing cardiovascular data and data analysis tools. CVRG tools are developed using the Software as a Service model, allowing users to access tools through their browser, thus eliminating the need to install and maintain complex software.",deprecated,CVRG,United States,,"National Heart, Lung and Blood Institute (NHLBI), National Institutes of Health (NIH), Bethesda, MD, USA",Government body,Stephen Granite,sgranite@jhu.edu,open,
0.1785,PROFILES Registry,https://www.dataarchive.profilesregistry.nl/,The PROFILES registry aims to provide a national resource for research into the psychosocial well-being of cancer survivors in conjunction with the Netherlands Cancer Registry and its clinical embedding that builds on high quality cancer registry data. ,ready,,Netherlands,,,,Nicole Horevoorts,N.Horevoorts@iknl.nl,open,10.1016/j.ejca.2011.04.034
0.1769,Turkish Journal of Veterinary Research,https://dergipark.org.tr/en/pub/tjvr,This resource is no longer available because its underlying source material is not in scope for FAIRsharing.Maintainers previously linked: [1170]. Licences previously linked: [167].,ready,TJVR,Turkey,2017,,,Ebubekir Ceylan,ebubekirceylan@gmail.com,not found,
0.1761,BCCM/ITM Mycobacteria Collection,http://bccm.belspo.be/about-us/bccm-itm,"BCCM/ITM harbours one the largest and most diverse collections of well-documented mycobacteria worldwide, including the TDR TB-Strain bank. BCCM/ITM is hosted by and sharing its research interests with the Mycobacteriology Unit at the Institute of Tropcial Medicine in Antwerp, dedicated in research to combat tuberculosis, Buruli ulcer and other mycobacterial diseases.",ready,BCCM/ITM,Belgium,2011,"Belgian Science Policy Office (Belspo), Belgium",Government body,BCCM/ITM,BCCM.ITM@itg.be,open,
0.1757,Human Proteinpedia,http://www.humanproteinpedia.org/,Human Proteinpedia is a community portal for sharing and integration of human protein data. It allows research laboratories to contribute and maintain protein annotations. ,deprecated,,India,2007,"National Library of Medicine (NLM), Bethesda, MD, USA",Government body,Pandey Akhilesh,pandey.akhilesh@mayo.edu,not found,10.1093/nar/gkn701
0.1729,Brain-CODE,https://braincode.ca,"Brain-CODE is a large-scale informatics platform that manages the acquisition and storage of multidimensional data collected from participants with a variety of brain disorders. Brain-CODE was created by the Ontario Brain Institute (https://braininstitute.ca) in Ontario, Canada. Access to all data (both public and controlled) requires registration.
FAIRsharing notes : this ressource appears to be insecure. As such, we have changed the status to ""uncertain"". Please get in touch if you have any information.",uncertain,,Canada,2012,,,General Help,help@braincode.ca,controlled,
0.1723,NASA Socioeconomic Data and Applications Center,https://sedac.ciesin.columbia.edu/,"The Socioeconomic Data and Applications Center (SEDAC) is a regular member of the World Data System and focuses on human interactions in the environment. Its mission is to develop and operate applications that support the integration of socioeconomic and Earth science data and to serve as an ""Information Gateway"" between the Earth and social sciences. The SEDAC is one of the Earth Observing System Data and Information System (EOSDIS) Distributed Active Archive Centers (DAACs) that archive and distribute earth science data, managed by NASA's Earth Science Data and Information System Project (ESDIS), as part of the Earth Science Data Systems (ESDS) Program.",deprecated,SEDAC,United States,1992,"National Aeronautics and Space Administration (NASA), Washington DC, USA",Government body,Robert R. Downs,rdowns@ciesin.columbia.edu,open,
0.172,Parkinson's Disease Biomarkers Program Data Management Resource,https://pdbp.ninds.nih.gov/,"The NINDS Parkinson's Disease (PD) Biomarkers Program Data Management Resource enables web-based data entry for clinical studies supporting PD biomarker development, as well as broad data sharing (imaging, clinical, genetic, and biospecimen analysis) across the entire PD research community. The PDBP DMR coordinates information and access to PD biospecimens distributed through the NINDS Human Genetics, DNA, iPSC , Cell Line and Biospecimen Repository and the Harvard Neurodiscovery Initiative.",ready,PDBP DMR,United States,,,,Helpdesk,PDBP-HELP@mail.nih.gov,controlled,
0.1712,NINDS Human Cell and Data Repository,https://nindsgenetics.org/,"The NINDS Human Cell and Data Repository (NHCDR) provides access to fibroblast and/or induced pluripotent stem cell (iPSC) lines for a number neurological disorders within the NINDS mission as well as healthy controls.  NHCDR also supports access to unique iPSC collections from NeuroLINCS, PDBP, LEFFTDS and Target ALS with associated metadata.  A GMP-grade iPSC line and corresponding research grade iPSC line are also available through the NHCDR.",ready,NHCDR,United States,,NIH Common Fund,"Government body, Research institute",Azadeh Jadali; Jennifer Moore; Scott Saccone,azadeh.jadali@sampled.com; jennifer.moore@sampled.com; ssaccone@wustl.edu,open,
0.171,NIH Genetic Testing Registry,https://www.ncbi.nlm.nih.gov/gtr/,"GTR is a freely accessible database of orderable clinical and research genetic test descriptions and the laboratories that provide them. Scope includes molecular, biochemical and cytogenetic human genetic tests as well as serologic and molecular microbe tests. Test descriptions include the test targets and the conditions the tests are for, methodology, clinical and analytical validity, clinical utility and ordering information. The goals of GTR are to bring transparency to the testing field, support clinicians ordering tests and advance the public health and research into the genetic basis of health and disease.",ready,GTR,United States,,National Institutes of Health,Government body,Support,tkt-tryhd@ncbi.nlm.nih.gov,open,
0.1688,NIAAA Data Archive,https://nda.nih.gov/niaaa/,"The National Institute on Alcohol Abuse and Alcoholism Data Archive (NIAAA-DA) is a data repository that houses and shares hundreds of alcohol-related, human subjects study data generated by NIAAA-funded research. NIAAA-DA is housed within the NIMH Data Archive (NDA) which provides infrastructure for sharing research data, tools, methods, and analyses enabling collaborative science and discovery. De-identified human subjects data, harmonized to a common standard, are available to qualified researchers.  Summary data is available to all.",ready,,United States,,National Institutes of Health,Government body,Support,NDAHelp@mail.nih.gov,partially open,
0.1677,TB Portals Program,https://tbportals.niaid.nih.gov/,"NIAID’s TB Portals Program is a multi-national collaboration for TB data sharing and analysis to advance TB research. As a global consortium of clinicians, scientists, and IT professionals from 77 sites in 20 countries throughout eastern Europe, Asia, and sub-Saharan Africa, the TB Portals Program is a web-based, open-access repository of multi-domain TB data and tools for its analysis. Researchers can find linked socioeconomic/geographic, clinical, laboratory, radiological, and genomic data from over 19,000 international published TB patient cases with an emphasis on drug-resistant tuberculosis.",ready,,United States,2014,"National Institute of Allergy and Infectious Diseases, National Institutes of Health; National Institutes of Health",Government body,Support,TBPortalsInfo@niaid.nih.gov,open,
0.167,Community Data Program,https://communitydata.ca/,"The Community Data Program is a membership-based community development initiative open to any Canadian public, non-profit or community sector organization with a local service delivery or public policy mandate.",ready,CDP,Canada,,,,Michel Frojmovic,michel@communitydata.ca,partially open,
0.1662,Vectorborne Disease Surveillance System,https://vectorsurv.org/,"VectorSurv was formed as a partnership of the Mosquito and Vector Control Association of California, representing more than 60 local mosquito and vector control agencies in California; the California Department of Public Health; and the Davis Arbovirus Research and Training (DART) Lab at the University of California, Davis. In recent years, VectorSurv has expanded to include other states, and the system now serves California, Utah, New Jersey, Hawaii, North Carolina, Tennessee, and the U.S. territory of Guam.",ready,VectorSurv,United States,2005,,,General contact,help@vectorsurv.org,open,
0.1662,Global Unique Device Identification Database,https://accessgudid.nlm.nih.gov/,"The Global Unique Device Identification Database (GUDID - pronounced ""Good ID"") is a database administered by the FDA as part of the UDI system. The GUDID contains device identification information submitted by device companies to the FDA. The GUDID contains ONLY the Device Identifier (DI), which serves as the primary key to obtain information in the database. Production Identifiers (PI) are not submitted to or stored in the GUDID, but GUDID data indicates which PIs are on the device label. Many data elements in the GUDID correspond to information on the medical device label. The figure below shows a fictitious medical device label and identifies the GUDID data elements that appear on the label. Please refer to the FDA UDI website for more information about GUDID data elements.",ready,GUDID,United States,2016,United States Food and Drug Administration (FDA),Government body,,,open,10.1016/j.ahj.2014.07.001
0.1661,Health Canada Drug Product Database,https://www.canada.ca/en/health-canada/services/drugs-health-products/drug-products/drug-product-database.html,"The Health Canada Drug Product Database contains product specific information on drugs approved for use in Canada. The database is managed by Health Canada and includes human pharmaceutical and biological drugs, veterinary drugs and disinfectant products. It contains approximately 15,000 products which companies have notified Health Canada as being marketed.",ready,HC DPD,Canada,,Health Canada,Government body,,Info@hc-sc.gc.ca,open,
0.1636,Catalogue of Transmission Genetics in Arabs,http://www.cags.org.ae/ctga/,The Centre for Arab Genomic Studies (CAGS) initiated the ambitious project to establish the CTGA (Catalogue of Transmission Genetics in Arabs) database for genetic disorders in Arabs with the aim to enlighten the scientific community and the public on the occurrence of inherited disorders in Arabs and to suggest future investigation strategies.,ready,CTGA,United Arab Emirates,,,,Ghazi O. Tadmouri,tadmouri@hotmail.com,open,10.1093/nar/gkj015
0.1609,Immune Tolerance Network TrialShare,https://www.itntrialshare.org/,"The immune tolerance data management and visualization portal for studies sponsored by the Immune Tolerance Network (ITN) and collaborating investigators. Data from published studies are accessible to any user; data from current in-progress studies are accessible to study investigators and collaborators. Includes links to published figures, tools for visualization and analysis of data, and ability to query study data by subject, group, or any other study parameter.",ready,TrialShare,United States,2010,"National Institute of Allergy and Infectious Diseases, National Institutes of Health",Government body,Helpdesk,trialsharesupport@immunetolerance.org,open,
0.1603,NIAID-DOE LANL HIV Database and Analysis Unit,https://www.hiv.lanl.gov/content/index,"The objective of this repository is to (a) provide a centralized resource of comprehensive data on HIV genetic sequences and immunological epitopes by compiling, annotating, and maintaining a relational database, and (b) develop HIV sequence and molecular immunology analysis methods and tools with searchable web interfaces to assist with design and development of vaccine and therapies.",ready,,United States,,"National Institutes of Health; National Institute of Allergy and Infectious Diseases, National Institutes of Health",Government body,,,open,
0.16,National Database for Autism Research,http://ndar.nih.gov/,"National Database for Autism Research (NDAR) is an extensible, scalable informatics platform for austism spectrum disorder-relevant data at all levels of biological and behavioral organization (molecules, genes, neural tissue, behavioral, social and environmental interactions) and for all data types (text, numeric, image, time series, etc.). NDAR was developed to share data across the entire ASD field and to facilitate collaboration across laboratories, as well as interconnectivity with other informatics platforms.",deprecated,NDAR,United States,2007,"National Institutes of Health (NIH), Bethesda, MD, USA",Government body,,ndarhelp@mail.nih.gov,not found,10.1007/s12021-012-9151-4
0.1587,Data.CDC.gov,https://data.cdc.gov,Data.CDC.gov hosts data sets published by the Centers for Disease Control and Prevention on public health topics.,ready,Data.CDC.gov,United States,2013,United States Department of Health and Human Services,Government body,Data@cdc.gov,data@cdc.gov,open,
0.1585,PubChem,https://pubchem.ncbi.nlm.nih.gov/,"PubChem is the world's largest collection of freely accessible chemical information. Searches can be performed via a number of descriptors such as name, molecular formula and structure. Information is provided for chemical and physical properties, biological activities, safety and toxicity information, patents, literature citations and more. PubChem is organized as three linked databases within the NCBI's Entrez information retrieval system. These are PubChem Substance, PubChem Compound, and PubChem BioAssay. PubChem also provides a fast chemical structure similarity search tool. ",ready,PubChem,United States,2004,"NLM Intramural Research Program, Rockville, MD, USA",Government body,,info@ncbi.nlm.nih.gov,partially open,10.1016/j.drudis.2010.10.003; 10.1093/nar/gkp456; 10.1093/nar/gkl1031; 10.1093/nar/gky1033; 10.1093/nar/gkw1118; 10.1093/nar/gkt978; 10.1093/nar/gkr1132; 10.1093/nar/gkaa971; 10.1093/nar/gkac956
0.1577,ILOSTAT,https://ilostat.ilo.org/,"The ILO Department of Statistics is the focal point to the United Nations on labour statistics. We develop international standards for better measurement of labour issues and enhanced international comparability; provide relevant, timely and comparable labour statistics; and help Member States develop and improve their labour statistics.",ready,,Worldwide,,,,General Contact ILO,ilo@ilo.org,open,
0.1573,Neuro Open Biobank,https://www.mcgill.ca/neuro/research/open-biobank,"The Neuro Open Biobank is a large open-science repository that combines biological samples with clinical, imaging, and genetic data from people with neurological conditions and healthy volunteers. It functions as both a patient registry and a research database, making de-identified data and specimens available to researchers worldwide to advance understanding of diseases like ALS, Parkinson’s, MS, autism and others.",ready,,Canada,,,,Jason Karamchandani,jason.karamchandani@mcgill.ca,partially open,
0.1571,National Addiction & HIV Data Archive Program,https://www.icpsr.umich.edu/web/pages/NAHDAP/index.html,"NAHDAP acquires, preserves and disseminates data relevant to drug addiction and HIV research. The scope of the data housed at NAHDAP covers a wide range of legal and illicit drugs (alcohol, tobacco, marijuana, cocaine, synthetic drugs, and others) and the trajectories, patterns, and consequences of drug use as well as related predictors and outcomes.",ready,NAHDAP,United States,,"National Institute on Drug Abuse (NIDA), Bethesda, MD, USA",Government body,General Contact,nahdap@icpsr.umich.edu,partially open,
0.1558,NIDDK Central Repository,https://repository.niddk.nih.gov/home/,"The NIDDK Central Repository stores biosamples, genetic and other data collected in designated NIDDK-funded clinical studies. The purpose of the NIDDK Central Repository is to expand the usefulness of these studies by allowing a wider research community to access data and materials beyond the end of the study.",ready,NIDDK,United States,2003,"National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK), Bethesda, MD, USA",Government body,NIDDK-CR support,NIDDK-CRsupport@niddk.nih.gov,partially open,10.1093/database/bar043
0.1553,Nuclear Receptor Signaling Atlas,http://www.nursa.org,"The mission of NURSA is to accrue, develop, and communicate information that advances our understanding of the roles of nuclear receptors (NRs) and coregulators in human physiology and disease.",deprecated,NURSA,United States,2003,"Eunice Kennedy Shriver National Institute of Child Health and Human Development; National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK), Bethesda, MD, USA",Government body; Undefined,Neil McKenna,nmckenna@bcm.edu,not found,10.1210/me.2009-0135; 10.1093/nar/gkj029
0.155,CESSDA Vocabulary Service,https://vocabularies.cessda.eu/#!discover,"CESSDA Vocabulary Service enables users to discover, browse, and download controlled vocabularies in a variety of languages. The service is provided by the Consortium of European Social Science Data Archives (CESSDA). The majority of the source (English) vocabularies included in the service have been created by the DDI Alliance. The Data Documentation Initiative (DDI) is an international standard for describing data produced by surveys and other observational methods in the social, behavioural, economic, and health sciences.",ready,CESSDA VS,Norway,,,,General contact,cessda@cessda.eu,open,
0.1543,Childhood Cancer Clinical Data Commons,https://clinicalcommons.ccdi.cancer.gov/,"C3DC is an open-access web application where users can access harmonized demographic and clinical data, create custom cohorts, and download data for local analysis.",ready,C3DC,United States,,National Institutes of Health,Government body,Support,ncichildhoodcancerdatainitiative@mail.nih.gov,partially open,
0.154,YanHuang - YH1 Genome Database,http://yh.genomics.org.cn,"The YH database presents the entire DNA sequence of a Han Chinese individual, as a representative of Asian population. This genome, named as YH, is the start of YanHuang Project, which aims to sequence 100 Chinese individuals in 3 years.assembled based on 3.3 billion reads (117.7Gbp raw data) generated by Illumina Genome Analyzer. In total of 102.9Gbp nucleotides were mapped onto the NCBI human reference genome (Build 36) by self-developed software SOAP (Short Oligonucleotide Alignment Program), and 3.07 million SNPs were identified.",deprecated,YH1,China,2007,"National Natural Science Foundation of China (NSFC), Beijing, China; Beijing Municipal Science & Technology Commission, (BMSTC), China; Ministry of Science and Technology, Beijing, China; Ministry of Education, China",Government body,General contact,yhdb@genomics.org.cn,not found,10.1093/nar/gkn966
0.1539,Structual and functional MRI data,http://mafil.ceitec.cz/en/,MRI data for brain and mind research incl. simultaneous recording of EEG and electrophysiology. This resource has restricted access.,in_development,MAFIL,Czech Republic,2015,,,Tomas Slavicek,tomas.slavicek@ceitec.muni.cz,controlled,
0.1537,Ersilia Model Hub,https://www.ersilia.io/model-hub,"The Ersilia Model Hub is a unified open‑source platform offering pretrained AI/ML models for drug discovery in infectious and neglected diseases. You can run models online (no coding needed) or download them for local inference. It also enables contributions of models from literature or new custom models, promoting open access and reuse. As part of Ersilia’s mission, it empowers research in low‑resource settings by making AI/ML tools more accessible.",ready,,Spain,,,,Gemma Turon; Miquel Duran-Frigola,gemma@ersilia.io; miquel@ersilia.io,partially open,
0.1523,Stanford HIV Drug Resistance Database,https://hivdb.stanford.edu/,"The Stanford HIV Drug Resistance Database (HIVDB) is an essential resource for public health officials monitoring ADR and TDR, for scientists developing new ARV drugs, and for HIV care providers managing patients with HIVDR.",ready,HIVDB,United States,1998,,,Robert W. Shafer,rshafer@stanford.edu,open,10.1093/nar/gkg100; 10.1086/505356
0.1518,Chemical Effects in Biological Systems,https://cebs.niehs.nih.gov/cebs/,"The Chemical Effects in Biological Systems (CEBS) database houses data of interest to environmental health scientists. CEBS is a public resource, and has received depositions of data from academic, industrial, and governmental laboratories.",ready,CEBS,United States,2003,"National Institute of Environmental Health Sciences (NIEHS), National Institutes of Health (NIH), North Carolina, USA",Government body,General Contact,CEBS-support@mail.nih.gov,open,10.1093/nar/gkm755
0.1518,STOREDB,https://www.storedb.org/store_v3/,"STOREDB provides infrastructure for sharing data and resources in radiation biology and epidemiology. It is a platform for the archiving and sharing of primary data and outputs of all kinds, including epidemiological and experimental data, from research on the effects of radiation. It also provides a directory of bioresources and databases containing information and materials that investigators are willing to share. STORE supports the creation of a radiation research commons.",ready,STOREDB,"Belgium, France, Germany, Italy, Netherlands, Norway, United Kingdom, United States",2008,Euratom,Undefined,Dr Paul Schofield,PNS12@cam.ac.uk,open,
0.1514,Orphanet,https://www.orpha.net/,"Orphanet is the reference resource for information on rare diseases and orphan drugs. Its aim is to contribute to the improvement of the diagnosis, care and treatment of patients with rare diseases. Orphanet maintains the Orphanet nomenclature, essential for interoperability, and the Orphanet Rare Disease Ontology (ORDO).",ready,,"France, European Union",1997,"National Agency of Research (ANR), Paris, France; European Union (EU)",Government body,,partnerships.orphanet@inserm.fr,open,
0.1507,DR-NTU (Data),https://researchdata.ntu.edu.sg/,"DR-NTU (Data) is an institutional research data repository of Nanyang Technological University (NTU), Singapore. 
The repository has a mission to curate, store, preserve, make available and enable the download of digital data generated by the NTU research community in various disciplines. The repository develops and provides guidance for managing, sharing, and reusing research data to promote responsible data sharing in support of open science and research integrity.",ready,,Singapore,2017,,,Institutional Repository (OIKLS),spi@ntu.edu.sg,partially open,10.5281/zenodo.8091464
0.1501,AUSSDA - The Austrian Social Science Data Archive ,https://data.aussda.at,"AUSSDA - The Austrian Social Science Data Archive is a certified, national research infrastructure for the social science community. We offer sustainable and easy-to-use services in the field of digital archiving and preservation. The main beneficiaries are researchers, students, educational institutions and media professionals.

We implement international standards to make research data findable, accessible, interoperable and reusable according to the FAIR principles. AUSSDA supports the open science movement to maximize the potential for data reuse. We stand for integrity in archiving and advocate for compliance with data protection and ethical principles in research data management.

AUSSDA represents Austria as a national service provider in CESSDA ERIC, has locations at the University of Vienna and the WU Wien and at the universities of Graz, Linz, Innsbruck, Krems, Klagenfurt and Salzburg as well as at the OeAW (Austrian Academy of Sciences) and works within a network of national and international partners.",ready,AUSSDA,Austria,2017,,,Helpdesk,info@aussda.at,partially open,
