name,abbreviation,url,fs_id,fs_doi,description,status,record_type,countries,year_created,funder,funder_type,maintaining_institution,maintaining_type,contact_name,contact_email,data_access_condition,data_deposition_condition,data_preservation_policy,linked_licence_name,linked_licence_url,related_standard_name,standard_relation,cross_references,object_types,subjects,tags,publications,similarity_score,_norm_name,_norm_abbreviation,_norm_domain,_match_type,_matched_to
Protein Data Bank Japan,PDBj,http://www.pdbj.org/,2031,10.25504/FAIRsharing.rs2815,"PDBj (Protein Data Bank Japan) maintains the single global PDB/BMRB/EMDB archives of macromolecular structures and provide integrated tools, under the Joint Usage and Research activities of the Institute for Protein Research. Supports browsing in multiple languages such as Japanese, Chinese, and Korean; SeSAW identifies functionally or evolutionarily conserved motifs by locating and annotating sequence and structural similarities, tools for bioinformaticians, and more.",ready,knowledgebase_and_repository,Japan,2011,"Platform Project for Supporting in Drug Discovery and Life Science Research, Japan Agency for Medical Research and Development; Institute for Bioinformatics Research and Development, Japan Science and Technology Agency; Japan Society for the Promotion of Science; Database Integration Coordination Program from the National Bioscience Database Center",Government body; Research institute; Consortium,Osaka University,University,Haruki Nakamura,harukin@protein.osaka-u.ac.jp,open,open,,Creative Commons CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,https://creativecommons.org/publicdomain/zero/1.0/,,,https://www.re3data.org/repository/r3d100010910; https://scicrunch.org/resolver/RRID:SCR_008912,dataset,Virology; Epidemiology; Bioinformatics; Structural Biology; Proteomics,COVID-19,10.1002/pro.3273; 10.1093/nar/gkr811; 10.1093/database/baq021; 10.1007/s10822-011-9460-y; 10.1093/nar/gkw962; 10.1002/pro.4211,,protein data bank japan,pdbj,pdbj.org,,
Protein Data Bank in Europe - Knowledge Base,PDBe-KB,http://pdbe-kb.org,2775,10.25504/FAIRsharing.sFzdV7,"PDBe-KB (Protein Data Bank in Europe - Knowledge Base) is a community-driven resource managed by the PDBe team, collating functional annotations and predictions for structure data in the PDB archive. PDBe-KB is a collaborative effort between PDBe and a diverse group of bioinformatics resources and research teams. The goal of PDBe-KB is two-fold: (i) to increase the visibility and reduce the fragmentation of annotations contributed by specialist data resources, and to make these data more findable, accessible, interoperable and reusable (FAIR) and (ii) to place macromolecular structure data in their biological context, thus facilitating their use by the broader scientific community in fundamental and applied research.",ready,knowledgebase_and_repository,Austria; Belgium; Croatia; Czech Republic; Denmark; Finland; France; Germany; Greece; Hungary; Iceland; Ireland; Israel; Italy; Lithuania; Luxembourg; Malta; Montenegro; Netherlands; Norway; Portugal; Slovakia; Spain; Sweden; Switzerland; United Kingdom,2018,,,"European Bioinformatics Institute (EMBL-EBI), Wellcome Genome Campus, Hinxton, Cambridgeshire, UK",Research institute,Mihaly Varadi,mvaradi@ebi.ac.uk,open,controlled,,Creative Commons Attribution 4.0 International (CC BY 4.0); EMBL-EBI Terms of Use,https://creativecommons.org/licenses/by/4.0/; http://www.ebi.ac.uk/about/terms-of-use,,,,dataset; image; model,Bioinformatics; Structural Biology,COVID-19,10.1093/nar/gky1114; 10.1093/nar/gkz853,,protein data bank in europe - knowledge base,pdbe-kb,pdbe-kb.org,,
Public Health Scotland COVID-19 Research Repository,,https://publichealthscotland.scot/population-health/health-protection/infectious-diseases/covid-19/covid-19-research-repository/,4496,10.25504/FAIRsharing.ab645a,"The COVID-19 Research Repository has been developed by Public Health Scotland (PHS) with an aim to bring together and provide access to Scottish COVID-19 research on a single shared platform in order to promote Scottish research to an international audience.

The main objectives of the repository are to:

    -make research easier to find
    -raise awareness of Scottish research
    -track, understand and report on the impact of this work
   - reduce duplication of effort
    -encourage a collaborative, cross-sectoral approach to COVID-19 research in Scotland
    -provide full-text open access to research wherever possible
    -ensure permanent preservation of PHS research",ready,knowledgebase,United Kingdom,2022,,,Public Health Scotland,Government body,Julia Green; James Wilson,Julia.Green@phs.scot; james.wilson3@phs.scot,partially open,controlled,,,,,,,document; publication; dataset,Clinical Studies; Health Services Research; Epidemiology; Infectious Disease Medicine,COVID-19,,,public health scotland covid-19 research repository,,publichealthscotland.scot,,
RCSB Protein Data Bank,RCSB PDB,https://www.rcsb.org/,2044,10.25504/FAIRsharing.2t35ja,"The Protein Data Bank archives information about the 3D shapes of proteins, nucleic acids, and complex assemblies that helps students and researchers understand all aspects of biomedicine and agriculture, from protein synthesis to health and disease. As a member of the wwPDB, the RCSB PDB provides simple and advanced searching for macromolecules and ligands, tabular reports, specialized visualization tools, sequence-structure comparisons, Molecule of the Month and other educational resources at PDB-101, and more.",ready,knowledgebase_and_repository,United States,1971,"National Cancer Institute, National Institutes of Health; National Science Foundation; U.S. Department of Energy; National Institute of General Medical Sciences; National Institute of Allergy and Infectious Diseases, National Institutes of Health; National Institutes of Health",Government body,"Rutgers, The State University of New Jersey, USA; University of California San Diego; University of California San Francisco",University,,info@rcsb.org,open,open,,Creative Commons CC0 1.0 Universal (CC0 1.0) Public Domain Dedication; RCSB PDB Policies,https://creativecommons.org/publicdomain/zero/1.0/; https://www.rcsb.org/pages/policies,,,https://www.re3data.org/repository/r3d100010327; https://scicrunch.org/resolver/RRID:SCR_012820,dataset; image; model,Virology; Molecular biology; Biochemistry; Biophysics; Epidemiology; Bioinformatics; Structural Biology,COVID-19,10.1093/nar/28.1.235; 10.1093/nar/gkaa1038,,rcsb protein data bank,rcsb pdb,rcsb.org,,
RNA Atlas of Structure Probing,RASP,http://rasp.zhanglab.net,3200,10.25504/FAIRsharing.H3pwqc,"RASP (RNA Atlas of Structure Probing) is build from 161 deduplicated transcriptome-wide RNA secondary structures from datasets culled from 38 papers. RASP covers 18 species across animals, plants, bacteria, fungi, and also viruses, and categorizes 18 experimental methods including DMS-seq, SHAPE-Seq, SHAPE-MaP, and icSHAPE, etc. Specially, RASP curates the up-to-date datasets of several RNA secondary structure probing studies for the RNA genome of SARS-CoV-2. RASP also provides a user-friendly interface to query, browse, and visualize RNA structure profiles, offering a shortcut to accessing RNA secondary structures grounded in experimental data.",ready,knowledgebase,China,2020,"Ministry of Science and Technology, Beijing, China; National Natural Science Foundation of China (NSFC), Beijing, China; National Natural Science Foundation of China (NSFC), Beijing, China; National Natural Science Foundation of China (NSFC), Beijing, China",Government body,Tsinghua University,University,Pan Li,lip16@mails.tsinghua.edu.cn,open,controlled,,Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0),https://creativecommons.org/licenses/by-nc/4.0/,,,,dataset,Life Science; Comparative Genomics; Genomics,COVID-19,,,rna atlas of structure probing,rasp,rasp.zhanglab.net,,
Reframedb,Reframedb,https://reframedb.org/,3018,10.25504/FAIRsharing.826035,"Reframedb is a comprehensive open-access, drug repositioning screening set of 12,000 compounds that was assembled by combining three widely-used commercial drug competitive intelligence databases (Clarivate Integrity, GVK Excelra GoStar and Citeline Pharmaprojects), together with extensive patent mining of small molecules that have been dosed in humans. To date ~12,000 compounds (~80% of compounds identified from data mining) have been purchased or synthesized, and subsequently plated for screening.",ready,knowledgebase,United States,,,,"Su Lab, La Jolla, CA, USA; Calibr, Scripps Research, La Jolla, CA, USA",Lab; Research institute,Arnab K. Chatterjee,achatterjee@calibr.org,open,not found,,Reframedb Terms of Use,https://reframedb.org/about#terms,,,,dataset; image; model; terminology artifact; protocol or workflow,Virology; Biomedical Science; Epidemiology; Drug Repositioning,COVID-19,10.1073/pnas.1810137115,,reframedb,reframedb,reframedb.org,,
SARS-CoV-2 Database,,https://covid19.sfb.uit.no,3670,10.25504/FAIRsharing.668458,SARS-CoV-2 Database is a knowledge database for SARS-CoV-2 virus research compiled from publicly available resources.,deprecated,knowledgebase,Norway,2020,ELIXIR Norway,Government body,UiT The Arctic University of Norway,University,Nils-Peder Willassen,nils-peder.willassen@uit.no,open,not applicable,,SARS-CoV-2 Database Terms of Use,https://covid19.sfb.uit.no/terms-of-use/,,,,object type not found,Virology; Genomics,,,,sars-cov-2 database,,covid19.sfb.uit.no,,
SIGnaling Network Open Resource,SIGNOR,https://signor.uniroma2.it/,2224,10.25504/FAIRsharing.ss78t4,"SIGNOR, the SIGnaling Network Open Resource, organizes and stores in a structured format signaling information published in the scientific literature. The captured information is stored as binary causative relationships between biological entities and can be represented graphically as activity flow. The entire network can be freely downloaded and used to support logic modeling or to interpret high content datasets. Each relationship is linked to the literature reporting the experimental evidence. In addition each node is annotated with the chemical inhibitors that modulate its activity. The signaling information is mapped to the human proteome even if the experimental evidence is based on experiments on mammalian model organisms.",ready,knowledgebase,Italy,2015,"Fraunhofer-Institut fr Angewandte Informationstechnik (FIT), Sankt Augstin, Germany",Research institute,"Bioinformatics and Computational Biology Unit, Molecular Genetics Laboratory, University of Rome Tor Vergata",University,Gianni Cesareni,gianni.cesareni@torvergata.it,open,not applicable,,,,,,,dataset; image; model,Biology,COVID-19,10.1093/nar/gkv1048,,signaling network open resource,signor,signor.uniroma2.it,,
SWISS-MODEL Repository of 3D protein structure models,SWISS-MODEL,https://swissmodel.expasy.org/repository/,2061,10.25504/FAIRsharing.vxz9pn,The SWISS-MODEL Repository is a database of annotated 3D protein structure models generated by the SWISS-MODEL homology-modelling pipeline for protein sequences of selected model organisms.,ready,knowledgebase,Switzerland,1993,,,Swiss Institute of Bioinformatics,Research institute,Torsten Schwede,help-swissmodel@unibas.ch,open,open,,Creative Commons Attribution-ShareAlike 4.0 International (CC BY-SA 4.0); SWISS-MODEL Terms of Use,https://creativecommons.org/licenses/by-sa/4.0/; https://swissmodel.expasy.org/docs/terms_of_use,,,https://www.re3data.org/repository/r3d100010605; https://scicrunch.org/resolver/RRID:SCR_013032,dataset; image; model,Life Science; Proteomics,COVID-19,10.1093/nar/gkn750; 10.1093/nar/gku340; 10.1093/nar/gkw1132,,swiss-model repository of 3d protein structure models,swiss-model,swissmodel.expasy.org,,
Swedish Pathogens Portal,,https://www.pathogens.se,5042,10.25504/FAIRsharing.a085b2,"The Swedish Pathogens Portal provides information, guidelines, data, services, and other resources aimed at supporting the Swedish research community to share data related to pathogens and pandemic preparedness. It promotes best practices in research data management, and provides direct support to the community as needed. Many of the pages are related to community building and  promoting the research ongoing in Sweden (e.g. pages showing events, funding opportunities, and articles on work sharing data). There are multiple dashboards on the site that display data on, for example, SARS-CoV-2, influenza, and enteric viruses. There are also databases showing the publications and data available from Swedish research related to COVID-19. The site is regularly updated with new features and data, and the team behind the portal is available to provide support and to take suggestions on new features.

The Swedish Pathogens Portal originally launched in June 2020 as the first national node of the European COVID-19 Portal. It has since transitioned to become the first national node of EMBL-EBI's Pathogens Portal (https://www.pathogensportal.org). This makes it an excellent example of transitioning resources to ensure pandemic preparedness.",ready,knowledgebase,Sweden,2020,"The Knut and Alice Wallenberg Foundation; Science for Life Laboratory (SciLifeLab); BY-COVID (BeYond COVID) Project; Swedish Foundation for Strategic Research, Stockholm, Sweden","Charitable foundation; Consortium; Government body, University, Research institute",,,Portal team; SciLifeLab Data Centre ,pathogens@scilifelab.se; datacentre@scilifelab.se,open,controlled,,MIT License,https://opensource.org/licenses/mit,,,,dataset; image,Virology; Pathology,COVID-19; wastewater surveillance; wastewater; wastewater sampling; acceptance of covid-19 vaccine,,,swedish pathogens portal,,pathogens.se,,
TARKI Data Archive,TARKI,https://adatbank.tarki.hu/en/,3341,10.25504/FAIRsharing.d14d9f,"TARKI is the Hungarian Social Science data archive. It is a member of CESSDA-ERIC and the European Association of Social Science Data Archives. There are more than 800 social science resources in the TÁRKI archive, representing more than 35 years of survey research in Hungary.",ready,repository,Hungary,1985,,,"TARKI Foundation, Budapest, Hungary",Charitable foundation,General Contact,tarki@tarki.hu,controlled,controlled,not specified,,,,,https://www.re3data.org/repository/r3d100010496,dataset,Social Science,COVID-19,,,tarki data archive,tarki,adatbank.tarki.hu,,
The Network Data Exchange,NDEx,https://www.ndexbio.org,2533,10.25504/FAIRsharing.8nq9t6,"NDEx is an online commons where scientists can upload, share, and publicly distribute biological networks and pathway models. The NDEx Project maintains a web-accessible public server, a documentation website, provides seamless connectivity to the Cytoscape desktop application as well as programmatic access using a variety of languages including Python, Java and R. NDEx users can easily create accounts or sign in using their Google credentials thanks to the supported open authentication (OAUTH2) method and mint DOIs for their networks to use in publications or include in other resources for long term access.",ready,repository,United States,2013,"National Cancer Institute, Rockville, MD, USA; California Digital Library (CDL), University of California, Oakland, CA, USA",Government body; University,"Cytoscape; Ideker Lab, School of Medicine, UC San Diego",Lab; Consortium,Rudolf T. Pillich,rpillich@ucsd.edu,open,open,,"BSD 3-Clause ""New"" or ""Revised"" License ; NDEx Terms, License and Sources",https://opensource.org/licenses/BSD-3-Clause; https://www.home.ndexbio.org/disclaimer-license/,,,https://www.re3data.org/repository/r3d100012690; https://scicrunch.org/resolver/RRID:SCR_003943,dataset; image; model,Life Science; Epidemiology; Microbiology,COVID-19,10.1007/978-1-4939-6783-4_13; 10.1016/j.cels.2015.10.001; 10.1158/0008-5472.CAN-17-0606; 10.1002/cpz1.258,,the network data exchange,ndex,ndexbio.org,,
Therapeutic Target Database,TTD,http://db.idrblab.net/ttd/,1694,10.25504/FAIRsharing.fwzf0w,"The Therapeutic Target Database provides information about therapeutic protein and nucleic acid targets, the targeted disease, pathway information and the corresponding drugs directed at each of these targets.  Also included in this database are links to relevant databases containing information about target function, sequence, 3D structure, ligand binding properties, enzyme nomenclature and drug structure, therapeutic class, clinical development status. All information is fully referenced.",ready,knowledgebase,China; Singapore,2002,"Singapore Academic Research Fund; National Natural Science Foundation of China (NSFC), Beijing, China",Government body; Undefined,"National University of Singapore, Singapore",University,Ying Zhou ; Yintao Zhang,zhou_ying@zju.edu.cn; zhangyintao@zju.edu.cn,open,controlled,,,,,,,dataset; image,Preclinical Studies; Biomedical Science,COVID-19; Multi-target agents data; Validation,10.1093/nar/gkp1014; 10.1093/nar/30.1.412; 10.1093/nar/gkt1129; 10.1093/nar/gkv1230; 10.1093/nar/gkab953,,therapeutic target database,ttd,db.idrblab.net,,
Translational Data Catalog,IMI Data Catalog,https://datacatalog.elixir-luxembourg.org/,3655,10.25504/FAIRsharing.de533c,"The Translational Data Catalog is a collection of project-level metadata from large research initiatives such as IMI and H2020 in a diverse range of fields, including clinical, molecular and observational studies. Its aim is to improve the findability of these projects following FAIR data principles. The Data Catalog uses a variety of web-based software to enable remote, interactive data-mining such that important metadata and summaries of curated studies can be displayed. ",ready,repository,Luxembourg,2016,ELIXIR Luxembourg; European Commision,Government body; Undefined,"Innovative Medicines Initiative (IMI), Europe",Consortium,General contact,data-catalog@elixir-luxembourg.org,open,not applicable,,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (CC BY-NC-SA 4.0),https://creativecommons.org/licenses/by-nc-sa/4.0/,,,,document; dataset; protocol or workflow,Clinical Studies; Proteomics; Toxicogenomics; Genomics,COVID-19; neurodegenerative diseases,,,translational data catalog,imi data catalog,datacatalog.elixir-luxembourg.org,,
UCSC Genome Browser database,,http://genome.ucsc.edu,1651,10.25504/FAIRsharing.s22qdj,"Genome assemblies and aligned annotations for a wide range of vertebrates and model organisms, along with an integrated tool set for visualizing, comparing, analyzing and sharing both publicly available and user-generated genomic datasets.",ready,knowledgebase,United States,2001,"National Human Genome Research Institute (NHGRI), Bethesda, MD, USA",Government body,"Genomics Institute, University of California, Santa Cruz, CA, USA",University,Public Mailing List; Private Internal  Mailing List,genome@soe.ucsc.edu; genome-www@soe.ucsc.edu,open,not applicable,,UCSC Genome Browser Code - License required for commercial use,http://genome.ucsc.edu/license/,,,https://www.re3data.org/repository/r3d100010243; https://scicrunch.org/resolver/RRID:SCR_005780,dataset,Life Science; Comparative Genomics; Transcriptomics; Microbiology; Immunology; Proteomics,COVID-19; Uniqueness mapping,10.1093/nar/gkh103; 10.1101/gr.229202; 10.1101/gr.3694705; 10.1093/nar/gks1048; 10.1002/0471250953.bi0104s40; 10.1093/nar/gkw1134; 10.1093/nar/gks1172; 2020.09.26.314971; 10.1186/s13100-020-00208-w; 10.1093/nar/gkaa1070; 10.1038/s41588-020-0700-8; 10.1101/gr.229102; 10.1038/35057062; 10.1101/gr.183201; 10.1093/nar/gkv1275; 10.1093/nar/gku1177; 10.1093/nar/gkz1012; 10.1093/nar/gky1095; 10.1093/nar/gkx1020; 10.1093/nar/gkab959,,ucsc genome browser database,,genome.ucsc.edu,,
VirHostNet,,http://virhostnet.prabi.fr,1914,10.25504/FAIRsharing.m3316t,"VirHostNet is a bioinformatic information system dedicated to the biocuration, data integration, reproducible systems-level analysis and visualisation of Virus / Host protein-protein interactions Network based on graph theory. VirHostNet is an open and gold standard knowledgebase shared in PSI MITAB 2.5 format using the PSICQUIC webservice and distributed through the NDEx platform.",ready,knowledgebase,France,2007,"Universite de Lyon, France; Rhone-Alpes Bioinformatics Center Platform; Fondation Innovations en Infectiologie",Government body; University; Consortium,"Universite de Lyon, France; French Institute of Bioinformatic",Research institute; University,Vincent Navratil,navratil@prabi.fr,open,not applicable,,,,,,https://www.re3data.org/repository/r3d100013315,model,Life Science; Virology; Systems Biology,COVID-19,10.1093/nar/gku1121; 10.1093/nar/gkn794,,virhostnet,,virhostnet.prabi.fr,,
ViralZone,ViralZone,http://viralzone.expasy.org/,2399,10.25504/FAIRsharing.tppk10,"ViralZone is a web resource for viral genes and families, providing detailed molecular and epidemiological information, along with virion and genome figures. Each virus or family page gives easy access to UniProtKB/Swiss-Prot viral protein entries.",ready,knowledgebase,Switzerland,2010,,,"Swiss Institute of Bioinformatics (SIB), Switzerland",Research institute,Philippe Le Mercier,Philippe.Lemercier@sib.swiss,open,not applicable,,Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0),https://creativecommons.org/licenses/by-nc/4.0/,,,https://www.re3data.org/repository/r3d100013314; https://scicrunch.org/resolver/RRID:SCR_006563,dataset; image,Life Science; Virology; Molecular biology; Epidemiology,COVID-19,10.1093/nar/gks1220; 10.1093/nar/gkq901,,viralzone,viralzone,viralzone.expasy.org,,
ViruSurf,ViruSurf,http://gmql.eu/virusurf/,3137,10.25504/FAIRsharing.vx5OEv,"ViruSurf is a large public database of viral sequences and integrated and curated metadata from heterogeneous sources (RefSeq, GenBank, COG-UK and NMDC); it also exposes computed nucleotide and amino acid variants, called from original sequences. A GISAID-specific ViruSurf database offers a subset of these functionalities. Given the current pandemic outbreak, SARS-CoV-2 data are collected from the four sources; but ViruSurf contains other virus species harmful to humans, including SARS-CoV, MERS-CoV, Ebola, and Dengue. The database is centered on sequences, described from their biological, technological, and organizational dimensions. In addition, the analytical dimension characterizes the sequence in terms of its annotations and variants. The web interface enables expressing complex search queries in a simple way; arbitrary search queries can freely combine conditions on attributes from the four dimensions, extracting the resulting sequences. Several example queries on the database confirm and possibly improve results from recent research papers; results can be recomputed over time and upon selected populations. Effective search over large and curated sequence data may enable faster responses to future threats that could arise from new viruses.",ready,knowledgebase,Italy,2020,The European Research Council (ERC); European Institute of Innovation & Technology (EIT),Government body; Undefined,Politecnico di Milano,University,Arif Canakoglu,acanak@gmail.com,not found,not found,,,,,,,dataset,Life Science; Virology; Data Management; Data Quality; Microbiology; data visualization; Data Integration,COVID-19,https://doi.org/10.1093/nar/gkaa846,,virusurf,virusurf,gmql.eu,,
WikiPathways,WikiPathways,https://wikipathways.org,1698,10.25504/FAIRsharing.1x53qk,"WikiPathways is an open, collaborative platform dedicated to the curation of biological pathways. WikiPathways was established to facilitate the contribution and maintenance of pathway information by the biology community.",ready,knowledgebase,Netherlands; United Kingdom; United States,2007,National Institute of General Medical Sciences; National Institute of General Medical Sciences; European Commission FP7; National Institute of General Medical Sciences; National Institutes of Health; National Institutes of Health,Government body,"Gladstone Institutes; Department of Bioinformatics, Universiteit Maastricht",Government body; University,Martina Summer-Kutmon,martina.kutmon@maastrichtuniversity.nl,open,controlled,,Apache License 2.0; Creative Commons CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,http://www.apache.org/licenses/LICENSE-2.0; https://creativecommons.org/publicdomain/zero/1.0/,,,https://www.re3data.org/repository/r3d100013316; https://scicrunch.org/resolver/RRID:SCR_002134,dataset; image; model,Life Science; Metabolomics,COVID-19,10.1371/journal.pbio.0060184; 10.1371/journal.pone.0006447; 10.1093/nar/gkr1074; 10.1093/nar/gkaa1024; 10.1093/nar/gkv1024,,wikipathways,wikipathways,wikipathways.org,,
WorkflowHub,,https://workflowhub.eu,3073,10.25504/FAIRsharing.07cf72,"The WorkflowHub is a registry of scientific workflows.  WorkflowHub aims to facilitate discovery and re-use of workflows in an accessible and interoperable way. This is achieved through extensive use of open standards and tools, including CWL, RO-Crate, Bioschemas and GA4GH's TRS API, in accordance with the FAIR principles. WorkflowHub supports workflows of any type in its native repository. ",ready,repository,Belgium; United Kingdom,2020,"ERANET proposal Systems Biology Applications; Biotechnology and Biological Sciences Research Council; The Swiss Initiative in Systems Biology (SystemsX.ch), Zurich, Switzerland; ELIXIR Europe; Netherlands Organisation for Scientific Research; EOSC-Life; FAIRDOM; European Commission Horizon 2020; Federal Ministry of Education and Research; BY-COVID (BeYond COVID) Project; EuroScience Gateway; German Network for Bioinformatics Infrastructure; IBISBA; AgroServ",Government body; Research institute; Consortium,University of Manchester,University,Finn Bacall,finn.bacall@manchester.ac.uk,open,open,"Should WorkflowHub reach its end of service, in accordance with Trusted Repository best practice, the published contributions and metadata will be archived as RO-Crates and made available through the public repository Zenodo, and DOI registrations will in this case be updated to link to the archived deposits.","BSD 3-Clause ""New"" or ""Revised"" License ",https://opensource.org/licenses/BSD-3-Clause,,,,dataset; protocol or workflow,Subject Agnostic,COVID-19,https://doi.org/10.48550/arXiv.2410.06941; 10.1038/s41597-025-04786-3,,workflowhub,,workflowhub.eu,,
Zoltar,Zoltar,https://zoltardata.com/,3255,,"Zoltar is a research data repository that stores forecasts made by external models in standard formats and provides tools for validation, visualization, and scoring. Zoltar can host real-time or retrospective forecasting challenges, competitions, or research projects, with users specifying the forecast targets.",in_development,repository,United States,2020,"National Institute of General Medical Sciences (NIGMS), Bethesda, MD, USA",Government body,"Reich Lab, Department of Biostatistics and Epidemiology, University of Massachusetts Amherst, Amherst, MA, USA",Lab,General Contact,zoltar@reichlab.io,open,open,,,,,,,dataset; image; model,Epidemiology; Statistics; Meteorology,COVID-19; Forecasting,,,zoltar,zoltar,zoltardata.com,,
bio.tools,,https://bio.tools/,3300,10.25504/FAIRsharing.63520c,bio.tools is a registry of information about bioinformatics software and data services. It was created to help researchers in biological and biomedical science to find and use such resources.,ready,repository,Denmark,2015,"Horizon 2020 Programme of the European Union - EXCELERATE; The Ministry of Higher Education and Science, Copenhagen, Denmark",Government body,,,Support Email,registry-support@elixirmail.cbs.dtu.dk,open,open,,Creative Commons Attribution 4.0 International (CC BY 4.0),https://creativecommons.org/licenses/by/4.0/,,,https://www.re3data.org/repository/r3d100013668,dataset; software source code; software application,Biomedical Science; Biology; Bioinformatics,COVID-19,10.1093/nar/gkv1116,,bio.tools,,bio.tools,,
data.europa.eu,DEU,https://data.europa.eu/en,2947,10.25504/FAIRsharing.d7b57d,"data.europa.eu (DEU), the official portal for European data, gives you access to open data published by EU institutions and bodies. All the data you can find via this catalogue are free to use and reuse for commercial or non-commercial purposes.",ready,knowledgebase,European Union,2012,,,European Commission,Government body,data.europa.eu Team,OP-DATA-EUROPA-EU@publications.europa.eu,open,not applicable,,Creative Commons Attribution 4.0 International (CC BY 4.0); Creative Commons CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,https://creativecommons.org/licenses/by/4.0/; https://creativecommons.org/publicdomain/zero/1.0/,,,https://www.re3data.org/repository/r3d100011728,dataset,Subject Agnostic,COVID-19,,,data.europa.eu,deu,data.europa.eu,,
iReceptor Public Archive,IPA,https://www.ireceptor.org/,2492,10.25504/FAIRsharing.ekdqe5,A data repository for the storage and sharing of Adaptive Immune Receptor Repertoire data. Primary public repository for the iReceptor Platform and Scientific Gateway.,ready,repository,Canada,2014,European Comission Horizon 2020; Canadian Institutes of Health Research (CIHR); CANARIE Network Enabled Platforms Program; British Columbia Knowledge Development Fund (BCKDF); Canada Foundation for Innovation,Government body; Company,"iReceptor, Simon Fraser University, Vancouver, B.C., Canada",University,Brian Corrie,bdcorrie@gmail.com,open,not found,,"BSD 3-Clause ""New"" or ""Revised"" License ",https://opensource.org/licenses/BSD-3-Clause,,,https://www.re3data.org/repository/r3d100012732,dataset; image,Life Science; Virology; Epidemiology; Immunogenetics; Immunology,COVID-19,10.1111/imr.12666,,ireceptor public archive,ipa,ireceptor.org,,
