name,abbreviation,url,fs_id,fs_doi,description,status,record_type,countries,year_created,funder,funder_type,maintaining_institution,maintaining_type,contact_name,contact_email,data_access_condition,data_deposition_condition,data_preservation_policy,linked_licence_name,linked_licence_url,related_standard_name,standard_relation,cross_references,object_types,subjects,tags,publications,similarity_score,_norm_name,_norm_abbreviation,_norm_domain,_is_duplicate,_match_type,_matched_to,filter_approach
The American Society for Hematology Research Collaborative COVID-19 Registry for Hematologic Malignancy,ASH RC COVID-19 Registry for Hematology,https://www.ashresearchcollaborative.org/s/covid-19-registry,3286,10.25504/FAIRsharing.yXNjR7,"The ASH Research Collaborative (ASH RC) COVID-19 Registry for Hematology, a global public reference tool that is part of the ASH RC Data Hub platform, captures data on individuals who test positive for COVID-19, have a hematologic condition (past or present) and/or have experienced a post-COVID-19 hematologic complication. As data are analyzed, real-time observational summaries are available via a dashboard.",deprecated,repository,United States,2020,,,"The American Society for Hematology Research Collaborative (ASH RC), Washington, DC, USA",Charitable foundation,,info@ashrc.org,open,open,,ASH RC Terms of Service,https://www.ashresearchcollaborative.org/s/terms,,,,object type not found,Critical Care Medicine; Epidemiology; Hematology; Health Science; Infectious Disease Medicine; Medical Virology,COVID-19; Dashboard; Observations,,,the american society for hematology research collaborative covid-19 registry for hematologic malignancy,ash rc covid-19 registry for hematology,ashresearchcollaborative.org,True,url,American Society for Hematology Research Collaborative COVID-19 Registry for Hematologic Malignancy,keyword
The COVID-19 and Cancer Consortium,CCC19,https://ccc19.org/,4076,10.25504/FAIRsharing.00f4c6,"CCC19 is a consortium of over 120 cancer centers and other organizations who have come together to collect data about patients with cancer who have been diagnosed with COVID-19.
",ready,repository,United States,2020,,,,,CCC19 contact,contact@ccc19.org,partially open,controlled,,,,,,,publication; questionnaire/survey; dataset; image,Clinical Studies; Epidemiology; Health Science; Medicine; Infectious Disease Medicine; Medical Virology,COVID-19; Dashboard; Observations,10.1016/s0140-6736(20)31187-9; 10.1158/2159-8290.cd-20-0941; 10.1016/j.ccell.2020.10.022; 10.1016/j.annonc.2021.02.024; 10.1001/jamaoncol.2021.1799; 10.1111/jth.15463; 10.1001/jamanetworkopen.2021.34330; 10.1016/j.annonc.2021.12.006; 10.1001/jamanetworkopen.2021.42046; 10.1093/ofid/ofac037; 10.1016/s2666-7568(22)00009-5; 10.1158/2643-3230.bcd-22-0013; 10.1001/jamanetworkopen.2022.4304; 10.2139/ssrn.4089485; 10.3390/cancers14174334,,the covid-19 and cancer consortium,ccc19,ccc19.org,True,url,The COVID-19 and Cancer Consortium,keyword
The European Genome-phenome Archive,EGA,https://ega-archive.org/,1865,10.25504/FAIRsharing.mya1ff,"The European Genome-phenome Archive (EGA) is a service for permanent archiving and sharing of personally identifiable genetic, phenotypic, and clinical data generated for the purposes of biomedical research projects or in the context of research-focused healthcare systems. Access to data must be approved by the specified Data Access Committee (DAC).",ready,repository,Spain; United Kingdom,2007,Ministerio de Asuntos Economicos y Transformacion Digital; Spanish Instituto de Salud Carlos III Instituto Nacional de Bioinformatica; Centro de Excelencia Severo Ochoa; The Wellcome Trust; Medical Research Council,Government body; Charitable foundation,"European Bioinformatics Institute, Wellcome Genome Campus; Centre for Genomic Regulation",Research institute,EGA Helpdesk,helpdesk@ega-archive.org,controlled,open,,EGA Legal Notice and Terms of Data Use,https://ega-archive.org/legal-notice,,,https://www.re3data.org/repository/r3d100011242; https://scicrunch.org/resolver/RRID:SCR_004944,dataset,Phenomics; Biomedical Science; Clinical Studies; Biology; Genomics,COVID-19; Single cell gene expression,10.1038/ng.3312; 10.1093/nar/gkab1059,,the european genome-phenome archive,ega,ega-archive.org,True,url,European Molecular Biology Laboratory-European Bioinformatics Institute European Genome-Phenome Archive,keyword
The ExtraCorporeal Membrane Oxygenation in COVID-19,ECMO in COVID-19,https://www.elso.org/ecmo-resources/covid-19.aspx,3251,10.25504/FAIRsharing.HGB4cF,The ExtraCorporeal Membrane Oxygenation (ECMO) in COVID-19 website as a resource for centers who may be called on to manage COVID-19 patients.,ready,repository,United States,2020,,,Extracorporeal Life Support Organization,Consortium,Ryan P Barbaro,barbaror@med.umich.edu,open,not applicable,,ELSO Data Policy; ELSO Privacy Policy; ELSO Terms of Use,https://www.elso.org/Registry/DataRequest.aspx; https://www.elso.org/PrivacyPolicy.aspx; https://www.elso.org/TermsOfUse.aspx,,,,document; publication; dataset,Critical Care Medicine; Respiratory Medicine; Clinical Studies; Epidemiology; Health Science; Cardiology; Medicine; Infectious Disease Medicine; Medical Virology,COVID-19; Dashboard; Extracorporeal membrane oxygenation; Observations,10.1097/MAT.0000000000001422; 10.1097/MAT.0000000000001173; S0140-6736(20)32008-0,,the extracorporeal membrane oxygenation in covid-19,ecmo in covid-19,elso.org,True,url,Extracorporeal Life Support Organization Registry,keyword
The WHO Global Clinical Platform for COVID-19,,https://www.who.int/teams/health-care-readiness/covid-19/data-platform,4078,10.25504/FAIRsharing.444bfa,"The WHO has created a global clinical platform of patient-level anonymized clinical data. The Platform is a secure, limited-access, password-protected platform hosted on REDCap.
",ready,repository,Worldwide,2019,,,World Health Organization,Government body,Platform contact,COVID_ClinPlatform@who.int,controlled,open,,WHO Global Clinical Platform for COVID-19 Terms of Use,https://cdn.who.int/media/docs/default-source/documents/emergencies/terms-of-use-global-covid19-data-platform.pdf?sfvrsn=d0a440c1_2,,,,dataset,Clinical Studies; Medical Virology,COVID-19; Dashboard,,,the who global clinical platform for covid-19,,who.int,True,url,The WHO Global Clinical Platform for COVID-19,keyword
Virus Pathogen Database and Analysis Resource,ViPR,http://www.viprbrc.org,1697,10.25504/FAIRsharing.2qx8n8,"The Virus Pathogen Database and Analysis Resource (ViPR) is an integrated repository of data and analysis tools for multiple virus families, supported by the National Institute of Allergy and Infectious Diseases (NIAID) Bioinformatics Resource Centers (BRC) program. ViPR captures various types of information, including sequence records, gene and protein annotations, 3D protein structures, immune epitope locations, clinical and surveillance metadata and novel data derived from comparative genomics analysis. The database is available without charge as a service to the virology research community to help facilitate the development of diagnostics, prophylactics and therapeutics for priority pathogens and other viruses.",deprecated,knowledgebase_and_repository,United States,2010,"National Institute of Allergy and Infectious Diseases (NIAID), National Institutes of Health (NIH), Bethesda, MD, USA; Bioinformatics Resource Centers, National Institute of Allergy and Infectious Diseases (NIAID), National Institutes of Health (NIH), Bethesda, MD, USA",Government body,"Northrop Grumman Health IT; J. Craig Venter Institute (JCVI), La Jolla, CA, USA; Vecna Technologies",Company; Research institute,Richard Scheuermann,rscheuermann@jcvi.org,open,open,,,,,,https://www.re3data.org/repository/r3d100011931; https://scicrunch.org/resolver/RRID:SCR_012983,object type not found,Life Science; Virology; Biomedical Science; Epidemiology; Proteomics; Genomics,,10.1093/nar/gkr859; 10.3390/v4113209; 10.1016/b978-0-12-801238-3.95728-3; 10.1016/b978-0-12-809633-8.20995-3,,virus pathogen database and analysis resource,vipr,viprbrc.org,True,url,National Institute of Allergy and Infectious Diseases - Virus Pathogen Resource,keyword
Yale University Open Data Access Project,YODA Project,https://yoda.yale.edu/welcome-yoda-project,4080,10.25504/FAIRsharing.b6b091,"The Yale University Open Data Access (YODA) Project at the Center for Outcomes Research and Evaluation advocates for the responsible sharing of clinical research data. The Project is committed to open science and data transparency, and supports research attempting to produce concrete benefits to patients, the medical community, and society as a whole. Through experience and input from the public and stakeholders, the YODA Project has iteratively developed a model to make data available to researchers in a sustainable way, in which data sharing becomes a part of the clinical research enterprise of the future. The mission of the YODA Project is to not only increase access to clinical research data, but to promote its use to generate new knowledge.",ready,repository,United States,2011,,,"Yale University School of Medicine, New Haven, CT, USA.; Center for Outcomes Research & Evaluation (CORE)",Research institute; Undefined,Harlan Krumholz,harlan.krumholz@yale.edu,controlled,not applicable,,YODA Data Use Agreement,https://yoda.yale.edu/data-use-agreement,,,https://www.re3data.org/repository/r3d100012235; https://scicrunch.org/resolver/RRID:SCR_022761,dataset; image,Clinical Studies; Pharmacology; Public Health; Medical Virology,COVID-19,,,yale university open data access project,yoda project,yoda.yale.edu,True,url,Yale University Open Data Access Project,keyword
Vivli,Vivli,https://vivli.org/,2719,10.25504/FAIRsharing.uovQrT,"The Vivli data repository provides a global data-sharing and analytics platform serving all elements of the international research community. It is focused on sharing individual participant-level data from completed clinical trials to serve the international research community. Vivli acts as a neutral broker between data contributor and data user and the wider data sharing community. Vivli is a non-profit organization focused on data sharing and analysis. Vivli provides managed access for human subject clinical research data. At a minimum, Vivli will make data available for researchers for 10 years, unless they are contractually unable to do so. On an ongoing basis, Vivli evaluates its data holdings with regard to maintaining access and reserves the right to discontinue the distribution of a data collections when deemed appropriate.When materials are deaccessioned, the data are no longer publicly accessible at Vivli, although they may still be preserved in Vivli’s storage vault. Because digital files are assigned a persistent digital object identifier (DOI), the study description is still available to view, but is not searchable through Vivli. Web crawlers are instructed to ignore the descriptions (via the robots exclusion protocol).
For more information about Vivli’s policy, please contact Vivli at support@vivli.org
It provides a no-charge period for data only available within their secure research environment. There are costs after the no-charge time period ends. Vivli supports managed access as well as embargoing generally and during peer review. Vivli is funded via grants and member fees.",ready,repository,Worldwide,,"Laura and John Arnold Foundation, USA; Lyda Hill Foundation, United States; The Wellcome Trust, UK; Leona M. and Harry B. Helmsley Charitable Trust, USA; Doris Duke Charitable Foundation, United States; Phrma; Bill and Melinda Gates Foundation, Seattle, Washington, USA",Company; Charitable foundation,"Multi-Regional Clinical Trials Center of Brigham and Women's Hospital and Harvard (MRCT Center), United States",Research institute,Julie Wood,jwood@vivli.org,controlled,controlled,10 year secure cloud archival. Secure storage using Microsoft Azure.,Vivli Data Use Agreement; Vivli Privacy Statement,https://vivli.org/resources/vivli-data-use-agreement/; https://vivli.org/privacy/,,,https://www.re3data.org/repository/r3d100012823; https://scicrunch.org/resolver/RRID:SCR_018080,dataset,Virology; Preclinical Studies; Biomedical Science; Clinical Studies; Health Science; Medicine,,,0.4060086018395157,vivli,vivli,vivli.org,True,url,Vivli Center for Global Clinical Research Data,similarity
National Institute of Mental Health Data Archive,NDA,https://nda.nih.gov,3209,10.25504/FAIRsharing.L13TT5,"The National Institute of Mental Health Data Archive (NDA), originally established to support autism research, is an informatics platform and data repository that facilitates data sharing across all of mental health and other research communities, combining data from each of these repositories into a single resource with a single process for gaining access to all shared data. While querying and browsing data is publicly available, all subject-level data is available behind a login.",ready,repository,United States,,"National Institute of Mental Health (NIMH), Bethesda, MD, USA; National Institute of Environmental Health Sciences (NIEHS), National Institutes of Health (NIH), North Carolina, USA; Eunice Kennedy Shriver National Institute of Child Health and Human Development; National Institute of Neurological Disorders and Stroke (NINDS), Bethesda, MD, USA",Government body; Undefined,"National Institute of Mental Health (NIMH), Bethesda, MD, USA",Government body,NDA Helpdesk,ndahelp@mail.nih.gov,partially open,controlled,,NDA Data Policy,https://nda.nih.gov/about/policy.html,,,https://www.re3data.org/repository/r3d100012653,publication; dataset; image,Clinical Studies; Medicine,,,0.3345554769825525,national institute of mental health data archive,nda,nda.nih.gov,True,url,National Institutes of Health - National Institute of Mental Health (NIMH) Data Archive,similarity
PubMed Central,PMC,http://www.ncbi.nlm.nih.gov/pmc/,1987,10.25504/FAIRsharing.wpt5mp,PubMed Central (PMC) is the U.S. National Institutes of Health (NIH) digital archive of biomedical and life sciences journal literature.,ready,repository,United States,,,,"National Center for Biotechnology Information (NCBI), Rockville, MD, USA",Government body,,pubmedcentral@ncbi.nlm.nih.gov,open,not applicable,,Open Data Commons Public Domain Dedication & License (PDDL) v1.0,http://opendatacommons.org/licenses/pddl/1.0/,,,,publication,Environmental Science; Life Science; Virology; Biomedical Science; Epidemiology; Earth Science,,10.1093/nar/gkq1172; 10.1093/nar/gkr1184,0.3308915155119132,pubmed central,pmc,ncbi.nlm.nih.gov,True,url,National Center for Biotechnology Information - GenBank,similarity
The Global Health Observatory,GHO,https://www.who.int/data/gho,2916,10.25504/FAIRsharing.ca4ce0,"The GHO data repository is WHO's gateway to health-related statistics for its 194 Member States. It provides access to over 1000 indicators on priority health topics including mortality and burden of diseases, the Millennium Development Goals (child nutrition, child health, maternal and reproductive health, immunization, HIV/AIDS, tuberculosis, malaria, neglected diseases, water and sanitation), non communicable diseases and risk factors, epidemic-prone diseases, health systems, environmental health, violence and injuries, equity among others.",ready,repository,Worldwide,,,,World Health Organization,Government body,General Contact,gho_info@who.int,open,not applicable,,,,,,https://www.re3data.org/repository/r3d100010812,dataset; image,Virology; Health Services Research; Medical Informatics; Epidemiology; Public Health; Health Science; Primary Health Care; Global Health,,,0.3277943472437123,the global health observatory,gho,who.int,True,url,The WHO Global Clinical Platform for COVID-19,similarity
Medical Information Mart for Intensive Care III,MIMIC-III,http://mimic.physionet.org/,2198,10.25504/FAIRsharing.pqnhpj,"MIMIC-III (Medical Information Mart for Intensive Care III) is a large, freely-available database comprising deidentified health-related data associated with over forty thousand patients who stayed in critical care units of the Beth Israel Deaconess Medical Center between 2001 and 2012. The database includes information such as demographics, vital sign measurements made at the bedside (~1 data point per hour), laboratory test results, procedures, medications, caregiver notes, imaging reports, and mortality (both in and out of hospital). MIMIC supports a diverse range of analytic studies spanning epidemiology, clinical decision-rule improvement, and electronic tool development. I",ready,repository,United States,,"National Institute of Biomedical Imaging and Bioengineering (NIBIB), Bethesda, MD, USA",Undefined,"Beth Israel Deaconess Medical Center, Boston, USA; Philips Healthcare; Laboratory for Computational Physiology, Massachusetts Institute of Technology",Company; Lab; Undefined,,mimic-support@physionet.org,open,open,,MIT License,https://opensource.org/licenses/mit,,,,dataset,Data Protection; Preclinical Studies; Biomedical Science; Clinical Studies; Demographics; Epidemiology; Health Science; Medicine,,10.1038/sdata.2016.35; 10.1097/CCM.0b013e31820a92c6,0.3198145843785833,medical information mart for intensive care iii,mimic-iii,mimic.physionet.org,True,fuzzy,medical information mart for intensive care,similarity
Global Initiative on Sharing Avian Influenza Data,GISAID,https://www.gisaid.org/,2925,10.25504/FAIRsharing.2f7f9f,"The GISAID Initiative promotes the international sharing of all influenza virus sequences, related clinical and epidemiological data associated with human viruses, and geographical as well as species-specific data associated with avian and other animal viruses, to help researchers understand how the viruses evolve, spread and potentially become pandemics.",ready,repository,Germany,,"Association of Public Health Laboratories (APHL); PREDEMICS (European Commission 2014-2017); United States Department of Health and Human Services; Max-Planck-Gesellschaft (MPG), Germany; State Secretariat for Education, Research and Innovation SERI",Government body; Undefined,,,,,partially open,controlled,,GISAID Terms of Use,https://www.gisaid.org/registration/terms-of-use/,,,https://www.re3data.org/repository/r3d100010126; https://scicrunch.org/resolver/RRID:SCR_018279,dataset,Virology; Clinical Studies; Epidemiology,,,0.3105632473330959,global initiative on sharing avian influenza data,gisaid,gisaid.org,True,url,Global Initiative on Sharing All Influenza Data,similarity
Osteoarthritis Initiative,OAI,https://nda.nih.gov/oai,3212,10.25504/FAIRsharing.D5iouq,"The Osteoarthritis Initiative (OAI) is a multi-center, ten-year observational study of men and women to improve the understanding of prevention and treatment of knee osteoarthritis, one of the most common causes of disability in adults. The OAI is a permanent archive of the clinical data, patient reported outcomes, biospecimen analyses, quantitative image analyses, radiographs (X-Rays) and magnetic resonance images (MRIs) acquired during this study. While querying and browsing data is publicly available, all subject-level data is available behind a login.",ready,repository,United States,,,,"National Institute of Mental Health (NIMH), Bethesda, MD, USA",Government body,NDA Helpdesk,ndahelp@mail.nih.gov,controlled,controlled,,NDA Data Policy,https://nda.nih.gov/about/policy.html,,,https://www.re3data.org/repository/r3d100011843,publication; dataset; image,Clinical Studies; Medicine,,,0.3025391565133277,osteoarthritis initiative,oai,nda.nih.gov,True,url,National Institutes of Health - National Institute of Mental Health (NIMH) Data Archive,similarity
Population Health Data Archive,PHDA,http://www.ncmi.cn/,2876,10.25504/FAIRsharing.Xb3LBL,"The National Population Health Data Center (NPHDC) is one of the 20 national science data center approved by the Ministry of Science and Technology and the Ministry of Finance. The Population Health Data Archive (PHDA) is developed by NPHDC relying on the Institute of Medical Information, Chinese Academy of Medical Sciences. PHDA mainly receives scientific data from science and technology projects supported by the national budget, and also collects data from other multiple sources such as medical and health institutions, research institutions and social individuals, which is oriented to the national big data strategy and the healthy China strategy. The data resources cover basic medicine, clinical medicine, public health, traditional Chinese medicine and pharmacy, pharmacy, population and reproduction. PHDA supports data collection, archiving, processing, storage, curation, verification, certification and release in the field of population health. Provide multiple types of data sharing and application services for different hierarchy users and help them find, access, interoperate and reuse the data in a safe and controlled environment. PHDA provides important support for promoting the open sharing of scientific data of population health and domestic and foreign cooperation.",ready,repository,China,,"Ministry of Science and Technology, Beijing, China",Government body,Chinese Academy of Medical Sciences & Peking Union Medical College,Research institute,PHDA,rkjkpt@126.com,partially open,not applicable,More information,,,,,https://www.re3data.org/repository/r3d100013199,dataset,Life Science; Human Genetics; Clinical Studies; Public Health; Proteomics; Genomics; Medicine; Pharmacy; Reproductive Health,,10.11925/infotech.2096-3467.2020.0954 ,0.2803644858842051,population health data archive,phda,ncmi.cn,True,url,Chinese Academy of Medical Sciences COVID-19 Data Sharing Platform of the National Population Health Data Center,similarity
National Trauma Data Bank,NTDB,https://www.facs.org/quality-programs/trauma/quality/national-trauma-data-bank/,6930,10.25504/FAIRsharing.6daf85,"The NTDB, run by the American College of Surgeons, is the largest collection of trauma-registry data in the U.S., aggregating millions of anonymized patient records from hundreds of trauma centers. It includes data for both pediatric and adult patients from all levels of trauma centers, capturing demographics, injury details, treatments, outcomes (including mortality), and hospital events.",ready,repository,United States,,,,American College of Surgeons (ACS),Consortium,General Contact,TraumaQuality@facs.org,controlled,controlled,,,,,,https://www.re3data.org/repository/r3d100011223,dataset,Medical Informatics; Demographics; Public Health,,,0.275583531454228,national trauma data bank,ntdb,facs.org,True,url,American College of Surgeons COVID-19 Registry,similarity
NICHD Data and Specimen Hub,NICHD DASH,https://dash.nichd.nih.gov/,2986,10.25504/FAIRsharing.dYSI4O,The Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD) Data and Specimen Hub (DASH) is a centralized resource that allows researchers to share and access de-identified data from studies funded by NICHD. DASH also serves as a portal for requesting biospecimens from selected DASH studies.,ready,repository,United States,,,,Eunice Kennedy Shriver National Institute of Child Health and Human Development,Undefined,General Contact,supportdash@mail.nih.gov,open,controlled,,NICHD Data and Specimen Hub Policy and Procedures,https://dash.nichd.nih.gov/resource/policies,,,https://www.re3data.org/repository/r3d100012915; https://scicrunch.org/resolver/RRID:SCR_016314,dataset,Life Science; Data Management; Critical Care Medicine; Pediatrics; Data Governance; Biomedical Science; Clinical Studies; Demographics; Gynecology; Obstetrics; Pharmacology; Social Science; Medicine; Musculoskeletal Medicine; Reproductive Health,,10.1038/sdata.2018.46,0.2704244069137411,nichd data and specimen hub,nichd dash,dash.nichd.nih.gov,True,url,National Institutes of Health - National Institute of Child Health and Human Development - Data and Specimen Hub,similarity
ClinVar,ClinVar,http://www.ncbi.nlm.nih.gov/clinvar/,2265,10.25504/FAIRsharing.wx5r6f,"ClinVar is a freely accessible, public archive of reports of the relationships among human variations and phenotypes, with supporting evidence. ClinVar thus facilitates access to and communication about the relationships asserted between human variation and observed health status, and the history of that interpretation. ClinVar processes submissions reporting variants found in patient samples, assertions made regarding their clinical significance, information about the submitter, and other supporting data. The alleles described in submissions are mapped to reference sequences, and reported according to the HGVS standard. ClinVar then presents the data for interactive users as well as those wishing to use ClinVar in daily workflows and other local applications. ClinVar works in collaboration with interested organizations to meet the needs of the medical genetics community as efficiently and effectively as possible.",ready,repository,United States,,"National Institutes of Health (NIH), Bethesda, MD, USA",Government body,,,,clinvar@ncbi.nlm.nih.gov,open,open,,NCBI Website and Data Usage Policies and Disclaimers,https://www.ncbi.nlm.nih.gov/home/about/policies/,,,https://www.re3data.org/repository/r3d100013331; https://scicrunch.org/resolver/RRID:SCR_006169,dataset,Preclinical Studies; Biomedical Science; Clinical Studies; Genomics,,10.1093/nar/gkt1113,0.2630287478989404,clinvar,clinvar,ncbi.nlm.nih.gov,True,url,National Center for Biotechnology Information - GenBank,similarity
Clinical Trials Registry - India,CTRI,https://ctri.nic.in/Clinicaltrials/login.php,7284,10.25504/FAIRsharing.75bbec,"The Clinical Trials Registry- India (CTRI), hosted at the ICMR's National Institute for Research in Digital Health and Data Science (https://nims.icmr.org.in), is a free and online public record system for registration of clinical trials being conducted in India.",ready,repository,India,,,,"Indian Council of Medical Research, India",Government body,General Contact,ctri@gov.in,open,open,,,,,,https://www.re3data.org/repository/r3d100010980; https://scicrunch.org/resolver/SCR_000679,dataset,Clinical Studies,,,0.2584923310022012,clinical trials registry - india,ctri,ctri.nic.in,True,url,A pan-IND non-interventional virtual registry evaluating the prophylactic efficacy of different regimens against SARS-CoV2 infection (COVID-2019) in asymptomatic health care workers,similarity
Archived Clinical Research Datasets,,https://www.ninds.nih.gov/current-research/research-funded-ninds/clinical-research/archived-clinical-research-datasets,5599,,"The data repository houses NINDS, Division of Clinical Research (DCR)- funded studies and trials in neurological areas such as Stroke, Parkinson’s disease, Migraine, Multiple Sclerosis and other neurological disorders. The data requests and approvals are managed by NINDS. Imaging, biosamples and other types of data are not supported by this repository. Contact your Program Official to determine if this repository is a good fit for your application. ",ready,repository,United States,,National Institutes of Health,Government body,National Institute of Neurological Disorders and Stroke,Research institute,,,controlled,controlled,,,,,,,publication; dataset; image,Clinical Studies,,,0.2584923310022012,archived clinical research datasets,,ninds.nih.gov,True,url,NIH NINDS Archived Clinical Research Datasets,similarity
Biologic Specimen and Data Repository Information Coordinating Center,BioLINCC,https://biolincc.nhlbi.nih.gov/home/,2010,10.25504/FAIRsharing.a46gtf,"The goal of Biologic Specimen and Data Repository Information Coordinating Center (BioLINCC) is to facilitate and coordinate the existing activities of the NHLBI Biorepository and the Data Repository and to expand their scope and usability to the scientific community through a single web-based user interface. BioLINCC provides a wealth of information on historical NHLBI clinical and epidemiologic studies which have data or biospecimens in the NHLBI repositories, and includes study summaries, references, and study operational documents.",ready,repository,United States,,"National Heart, Lung and Blood Institute (NHLBI), National Institutes of Health (NIH), Bethesda, MD, USA",Government body,"National Heart, Lung and Blood Institute (NHLBI), National Institutes of Health (NIH), Bethesda, MD, USA",Government body,General Contact,biolincc@imsweb.com,partially open,open,,NHLBI Data Sharing Policy,https://www.nhlbi.nih.gov/grants-and-training/policies-and-guidelines/nhlbi-policy-for-data-sharing-from-clinical-trials-and-epidemiological-studies,,,https://www.re3data.org/repository/r3d100010834; https://scicrunch.org/resolver/RRID:SCR_013142,document; dataset,Preclinical Studies; Biomedical Science; Epidemiology,,10.1136/thoraxjnl-2012-201876,0.2459101777142093,biologic specimen and data repository information coordinating center,biolincc,biolincc.nhlbi.nih.gov,True,url,NIH Biologic Specimen and Data Repository Information Coordinating Center,similarity
Influenza Research Database,IRD,http://www.fludb.org,1726,10.25504/FAIRsharing.ws7cgw,"The Influenza Research Database (IRD) is a free, open, publicly-accessible resource funded by the U.S. National Institute of Allergy and Infectious Diseases through the Bioinformatics Resource Centers program. IRD provides a comprehensive, integrated database and analysis resource for influenza sequence, surveillance, and research data, including user-friendly interfaces for data retrieval, visualization, and comparative genomics analysis, together with personal login- protected ‘workbench’ spaces for saving data sets and analysis results. IRD integrates genomic, proteomic, immune epitope, and surveillance data from a variety of sources, including public databases, computational algorithms, external research groups, and the scientific literature.",deprecated,knowledgebase,United States,,"National Institute of Allergy and Infectious Diseases (NIAID), National Institutes of Health (NIH), Bethesda, MD, USA; Bioinformatics Resource Centers, National Institute of Allergy and Infectious Diseases (NIAID), National Institutes of Health (NIH), Bethesda, MD, USA",Government body,"J. Craig Venter Institute (JCVI), La Jolla, CA, USA; Northrop Grumman Health IT; Vecna Technologies",Company; Research institute,Richard Scheuermann,rscheuermann@jcvi.org,not found,not found,,,,,,https://www.re3data.org/repository/r3d100011558; https://scicrunch.org/resolver/RRID:SCR_006641,object type not found,Virology; Biomedical Science; Epidemiology; Proteomics; Genomics,,10.1111/j.1750-2659.2011.00331.x; 10.1128/JVI.06901-11; 10.1016/j.virol.2013.08.021; 10.1371/journal.pone.0099979; 10.1016/j.meegid.2014.07.015; 10.4137/EBO.S21501; 10.1038/sdata.2014.33; 10.1128/JVI.03636-14; 10.1093/nar/gkw857,0.2360452245150042,influenza research database,ird,fludb.org,True,url,National Institute of Allergy and Infectious Diseases - Influenza Research Database,similarity
Allele Frequency Aggregator,ALFA,https://www.ncbi.nlm.nih.gov/snp/docs/gsr/alfa/,5585,10.25504/FAIRsharing.15b548,"The NCBI Allele Frequency Aggregator (ALFA) seeks to make allele frequency datasets from dbGaP studies the largest and most complete aggregated variant datasets available as open-access. Over two million individuals, up to billions of variations, thousands of phenotypes, and molecular test datasets make up the database dbGaP. Huge opportunities exist to investigate and research genetic differences within human populations and to find genetic factors that affect health and diseases in order to enhance diagnosis, treatment, and prevention.",ready,repository,United States,,National Institutes of Health,Government body,National Library of Medicine,Government body,,,open,controlled,,,,,,,dataset; image,Computational Biology; Clinical Studies,,,0.2227573281540865,allele frequency aggregator,alfa,ncbi.nlm.nih.gov,True,url,National Center for Biotechnology Information - GenBank,similarity
National Cancer Database,NCDB,https://www.facs.org/quality-programs/cancer/ncdb,7112,10.25504/FAIRsharing.65754e,"The NCDB is a clinical oncology database sourced from hospital registry data collected in more than 1,500 Commission on Cancer-accredited facilities. These data are used to analyze and track patients with malignant neoplastic diseases, their treatments, and outcomes. Online reporting tools are available to provide your program with comparative benchmarks for similar programs. We also have reporting tools for quality improvement, quality assurance, and surveillance measures.",ready,knowledgebase,United States,,,,American College of Surgeons (ACS),Consortium,General Contact,NCDB@facs.org,controlled,controlled,,,,,,https://www.re3data.org/repository/r3d100011859,dataset,Clinical Studies,,,0.2225863522347599,national cancer database,ncdb,facs.org,True,url,American College of Surgeons COVID-19 Registry,similarity
OmicsDB,ODB,https://github.com/KeironO/omicsdb,2292,10.25504/FAIRsharing.1v4zw7,"OmicsDB is a database for the storage and management of omics data and auxiliary information. The database contains cross-species, cross-technique and cross-types. It offers user-submission tools of which aim to reduce the work revolving adherence to standards. The resource homepage is currently unavailable. If you have any information on the current status of this resource, please contact us.",deprecated,repository,United Kingdom,,,,,,Keiron O'Shea,keo7@aber.ac.uk,not found,not found,,MIT License,https://opensource.org/licenses/mit,,,,object type not found,Life Science,,,0.2169088168579234,omicsdb,odb,github.com,True,url,COVID-19 image data collection,similarity
ClinicalTrials.gov,,https://clinicaltrials.gov/,2004,10.25504/FAIRsharing.mewhad,"ClinicalTrials.gov hosts a large collection of clinical studies from around the world. You can search for clinical studies by condition or disease name or other terms such as a drug name. Note: ClinicalTrials.gov is an official website of the U.S. Department of Health and Human Services, National Institutes of Health, National Library of Medicine, and National Center for Biotechnology Information. The National Library of Medicine (NLM) maintains this website. ",ready,repository,United States,,National Institutes of Health,Government body,National Library of Medicine,Government body,NLM Communications,NLMCommunications@nih.gov,partially open,controlled,NIH-Supported Data Sharing Resource,NIH Web Policies and Notices; NLM NIH Copyright; Open Data Commons Public Domain Dedication & License (PDDL) v1.0; HHS Vulnerability Disclosure Policy; ClinivalTrials.gov Terms & Conditions ( May 2014),https://www.nih.gov/web-policies-notices; http://www.nlm.nih.gov/copyright.html; http://opendatacommons.org/licenses/pddl/1.0/; https://www.hhs.gov/vulnerability-disclosure-policy/index.html; https://clinicaltrials.gov/ct2/about-site/terms-conditions,,,https://www.re3data.org/repository/r3d100010211; https://scicrunch.org/resolver/RRID:SCR_002309,dataset; protocol or workflow,Data Management; Omics; Preclinical Studies; Biomedical Science; Clinical Studies; Epidemiology; Pharmacology; Immunology,,10.7326/M15-2658,0.2166128776756194,clinicaltrials.gov,,clinicaltrials.gov,True,url,ClinicalTrials.gov,similarity
