name,abbreviation,url,fs_id,fs_doi,description,status,record_type,countries,year_created,funder,funder_type,maintaining_institution,maintaining_type,contact_name,contact_email,data_access_condition,data_deposition_condition,data_preservation_policy,linked_licence_name,linked_licence_url,related_standard_name,standard_relation,cross_references,object_types,subjects,tags,publications,similarity_score
Social Data Network,SoDaNet,https://sodanet.gr/,6877,10.25504/FAIRsharing.1fa9e8,"SoDaNet is Greece’s national research infrastructure for the social sciences, established in 2010 by EKKE and several universities. It serves as a digital portal that collects, documents, and shares social science data and metadata for researchers, academics, policy makers, journalists, and the wider public.",ready,repository,Greece,,,,National Centre for Social Research (EKKE),Research institute,Apostolos Linardis,alinardis@ekke.gr,open,open,,,,,,https://www.re3data.org/repository/r3d100010491,document; publication; dataset,Social Science,,,0.19656437537272214
The Cardiovascular Research Grid,CVRG,https://www.cvrgrid.org/,2012,10.25504/FAIRsharing.x80z26,"The CardioVascular Research Grid (CVRG) project is creating an infrastructure for sharing cardiovascular data and data analysis tools. CVRG tools are developed using the Software as a Service model, allowing users to access tools through their browser, thus eliminating the need to install and maintain complex software.",deprecated,repository,United States,,"National Heart, Lung and Blood Institute (NHLBI), National Institutes of Health (NIH), Bethesda, MD, USA",Government body,"Johns Hopkins University, Baltimore, MD, USA",University,Stephen Granite,sgranite@jhu.edu,open,not applicable,,,,,,https://www.re3data.org/repository/r3d100012849; https://scicrunch.org/resolver/RRID:SCR_004472,object type not found,Life Science; Biomedical Science; Health Science,,,0.19577455969251611
Reactome,,https://reactome.org,1866,10.25504/FAIRsharing.tf6kj8,"The cornerstone of Reactome is a freely available, open source relational database of signaling and metabolic molecules and their relations organized into biological pathways and processes. The core unit of the Reactome data model is the reaction. Entities (nucleic acids, proteins, complexes, vaccines, anti-cancer therapeutics and small molecules) participating in reactions form a network of biological interactions and are grouped into pathways. Examples of biological pathways in Reactome include classical intermediary metabolism, signaling, transcriptional regulation, apoptosis and disease. Inferred orthologous reactions are available for 15 non-human species including mouse, rat, chicken, zebrafish, worm, fly, and yeast.",ready,knowledgebase,Canada; United Kingdom; United States,,,,New York University Langone Medical Center; Oregon Health & Science University; Ontario Institute For Cancer Research; European Bioinformatics Institute,Research institute; University,Reactome Helpdesk,help@reactome.org,open,not applicable,Digital Preservation,Creative Commons Attribution 4.0 International (CC BY 4.0); Creative Commons CC0 1.0 Universal (CC0 1.0) Public Domain Dedication; Reactome Licence Agreement,https://creativecommons.org/licenses/by/4.0/; https://creativecommons.org/publicdomain/zero/1.0/; https://reactome.org/license,,,https://www.re3data.org/repository/r3d100010861; https://scicrunch.org/resolver/RRID:SCR_003485,dataset; image,Life Science; Virology; Metabolomics; Transcriptomics; Epidemiology; Proteomics; Genomics,,10.1093/nar/gkx1132; 10.1093/nar/gkz1031; 10.1093/nar/gki072; 10.1093/nar/gkad1025; 10.1093/database/baae031; 10.1093/nar/gkab1028; 10.1128/jvi.02024-24,0.19566250319958467
HEP Drug Interactions,,https://www.hep-druginteractions.org/,2959,10.25504/FAIRsharing.ead9cc,"Currently 170 million people worldwide are infected with the hepatitis C virus (HCV) and >300 million with hepatitis B (HBV). Although interferon-free combination direct acting antivirals (DAAs) regimens have improved tolerability and efficacy for HCV-infected patients, drug-drug interactions (DDIs) have the potential to cause harm due to liver dysfunction, multiple comorbidities and comedications. This web site was established in 2010 by members of the Department of Pharmacology at the University of Liverpool to offer a resource for healthcare providers, researchers and patients to be able to understand and manage drug-drug interactions.",ready,knowledgebase,United Kingdom,,"Abbvie, North Chicago, Illinois, USA; Gilead, Foster City, CA, USA; European Association for the Study of the Liver (EASL); Janssen EMEA, Beerse, Belgium; MSD, Hoddesdon, UK",Company; Consortium,,,David Back,D.J.Back@liverpool.ac.uk,open,not applicable,,HEP Drug Interactions Terms and Conditions,https://www.hep-druginteractions.org/terms,,,,dataset,Virology; Drug Discovery; Drug Development; Biomedical Science; Epidemiology,,,0.1955766085295004
Brain Imaging Network Data Repository,,http://www.brainimaging.pt,2332,10.25504/FAIRsharing.qwd1nx,We are a leading national institution in brain MR imaging and molecular imaging (given cyclotron and radiopharmacy facilities). These pillars create the core medical imaging equipment infrastructure in Portugal with relevant scientific productivity now expanding to all levels of multimodal imaging. We have unique expertise and equipment for development of imaging markers and studies in brain imaging and respective repositories. This resource has restricted access. Please use the contact details provided to request access.,deprecated,repository,Portugal,,"Fundaeo para a Ciencia e a Tecnologia (FCT), Lisboa, Portugal",Government body,"IBA Radiopharma Solutions, Louvain-La-Neuve, Belgium; Siemens",Company; Undefined,Miguel Castelo-Branco,mcbranco@fmed.uc.pt,not found,not found,,,,,,,object type not found,Medicine,Pre-clinical imaging,,0.19520020656084272
Accelerating Medicines Partnership® Parkinson's Disease,AMP® PD,https://amp-pd.org/,5546,10.25504/FAIRsharing.51f408,"The Accelerating Medicines Partnership – Parkinson’s Disease (AMP PD) is a public-private partnership formed for the purpose of identifying and validating diagnostic, prognostic, and progression biomarkers for Parkinson’s Disease.  To accomplish this goal, AMP PD harmonized longitudinal clinical data from seven large existing cohorts and conducted whole genome sequencing, longitudinal transcriptomics, and longitudinal proteomics analyses from their existing blood, CSF, and/or brain tissue samples.  AMP PD data, along with the federated, international Global Parkinson’s Genetics Program (GP2) data, exists in the Google Cloud and is accessible and analyzable on the Verily/Broad Institute’s Terra Platform.",ready,repository,United States,,National Institutes of Health; National Institute of Neurological Disorders and Stroke,Government body; Research institute,United States Department of Health and Human Services,Government body,,,controlled,controlled,,AMP PD Data Use Agreement,https://amp-pd.org/researchers/data-use-agreement,,,,dataset,Computational Biology; Clinical Studies; Neuroscience; Social and Behavioural Science,,,0.19396612155050977
BioData Catalyst,,https://biodatacatalyst.nhlbi.nih.gov/,5586,10.25504/FAIRsharing.310405,"NHLBI BioData Catalyst is a cloud-based platform providing tools, applications, and workflows in secure workspaces for heart, lung, blood, and sleep disorder research. BioData Catalyst allows researchers to find, access, share, store, and compute on large scale datasets.",ready,repository,United States,,National Institutes of Health,Government body,"National Heart, Lung and Blood Institute, National Institutes of Health",Government body,,,controlled,open,,,,,,,dataset; protocol or workflow,Computational Biology; Clinical Studies,,10.5281/zenodo.3822858,0.19384158181557845
International Microvillus Inclusion Disease Patient Registry,MVID,https://mvid.gcc.rug.nl/,2696,10.25504/FAIRsharing.5a929e,"The International Microvillus Inclusion Disease Patient Registry contains anonymised data on both published and unpublished MVID patients, as well as their associated MYO5B, STX3 and STXBP2 mutations and genotypes, and clinical and molecular phenotypes.",ready,repository,Netherlands,,"The Dutch Digestive foundation; Biobanking and Biomolecular Resources Research Infrastructure (BBMRI), The Netherlands; BIOSHARE-EU; Fondation pour la Recherche contre le Cancer (ARC), Villejuif, France; Dutch government; National Agency of Research (ANR), Paris, France; GEN2PHEN",Government body; Charitable foundation; Consortium; Undefined,"University of Groningen, Netherlands",University,Sven C. D. van IJzendoorn,s.c.d.van.ijzendoorn@umcg.nl,open,open,,,,,,,dataset,Pediatrics; Biomedical Science; Cell Biology,,10.1002/humu.22440,0.19356269564464107
NIA Genetics of Alzheimer's Disease Data Storage Site - NIAGADS,,https://www.niagads.org/home,5554,10.25504/FAIRsharing.de1d81,"The National Institute on Aging Genetics of Alzheimer's Disease Data Storage Site (NIAGADS) is a national genetics data repository facilitating access to genotypic and phenotypic data for Alzheimer's disease (AD) for the Alzheimer’s Disease Sequencing Project (ADSP). Data include GWAS, whole genome (WGS) and whole exome (WES), expression, RNA Seq, and CHIP Seq analyses. Phenotypic/clinical data for participants are harmonized across all study cohorts. Results are integrated and annotated in the searchable genomics database that also provides access to a variety of software packages, analytic pipelines, online resources, and web-based tools to facilitate analysis and interpretation of large-scale genomic data. Data are available as defined by the NIA Genomics of Alzheimer’s Disease Sharing Policy and the NIH Genomics Data Sharing Policy. Investigators return secondary analysis data to the database in keeping with the NIAGADS Data Distribution Agreement.",ready,knowledgebase,United States,,National Institute on Aging; National Institutes of Health,Government body,"Perelman School of Medecine, University of Pennsylvania ",University,General inquiries ; Genomics database; Li-San Wang,NIAGADS@pennmedicine.upenn.edu; genomicsdb@pennmedicine.upenn.edu; lswang@pennmedicine.upenn.edu,partially open,open,,,,,,,dataset,Computational Biology; Clinical Studies; Genetics; Neuroscience; Social and Behavioural Science,Alzheimer’s disease,10.1093/nar/gkv1188; 10.1261/rna.036806.112; 10.1093/bioinformatics/btt422; 10.1002/0471142905.hg0127s79; 10.1093/nar/gkt426; 10.1093/nar/gkt188; 10.1016/j.ymeth.2013.10.002; 10.1093/bioinformatics/btu801; 10.1371/journal.pone.0141836; 10.1186/s12859-016-1071-0,0.19353178558671907
Sikt Research Data Archive,,https://sikt.no/en/archiving-research-data,2597,10.25504/FAIRsharing.mKDii0,"Sikt Research Data Archive is a national research data infrastructure dedicated to the digital curation of high-quality research data, focusing on social science, humanities, and select areas of medical, health, and environmental research.  The Archive's mission is to archive, facilitate, and disseminate rich data resources and support services to students, researchers, and organisations in higher education and research. The Archive offers data curation services that include carefully reviewing incoming data and documentation, enhancing documentation, adding detailed metadata, creating new sustainable formats, and reviewing deposited data for accuracy and legitimacy. The Archive is the Norwegian Service Provider for the Consortium of European Social Science Data Archives (CESSDA). 

The Archive has a long history of promoting and supporting open access to research data and data sharing within the social sciences, both as a national infrastructure and as part of the European and worldwide network of social science data archives. Before its merger into Sikt in 2022, the Archive was part of NSD – Norwegian Centre for Research Data. NSD was established in 1971 as part of the Research Council of Norway and became an independent limited company fully owned by the Ministry of Education and Research in 2003. The Archive is now a service under Sikt – Norwegian Agency for Shared Services in Education and Research, a public administrative body under the Ministry of Education and Research.",ready,knowledgebase_and_repository,Norway,,"The Research Council of Norway; Ministry of Education and Research, Norway",Government body,,,Morten Jakobsen,morten.jakobsen@sikt.no,partially open,open,,Creative Commons Attribution 4.0 International (CC BY 4.0); Creative Commons Attribution-NoDerivatives 4.0 International (CC BY-ND 4.0); Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0); Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International (CC BY-NC-ND 4.0); Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (CC BY-NC-SA 4.0); Creative Commons CC0 1.0 Universal (CC0 1.0) Public Domain Dedication; Open Data Commons Attribution License (ODC-BY) v1.0; Open Data Commons Public Domain Dedication & License (PDDL) v1.0; Open Data Commons Open Database License (ODC ODbL) v1.0,https://creativecommons.org/licenses/by/4.0/; https://creativecommons.org/licenses/by-nd/4.0/; https://creativecommons.org/licenses/by-nc/4.0/; https://creativecommons.org/licenses/by-nc-nd/4.0/; https://creativecommons.org/licenses/by-nc-sa/4.0/; https://creativecommons.org/publicdomain/zero/1.0/; http://opendatacommons.org/licenses/by/1.0/; http://opendatacommons.org/licenses/pddl/1.0/; http://opendatacommons.org/licenses/odbl/1.0/,,,https://www.re3data.org/repository/r3d100010493,document; publication; questionnaire/survey; dataset,Economics; Social Anthropology; Social Policy; Social Science; Policy; Health Science; Humanities; Medicine; Primary Health Care; Humanities and Social Science; Social and Behavioural Science; Political Science; Economic and Social History; Area Studies,,,0.1932359477713105
Digital Commons Data@Becker,DCD@Becker,https://digitalcommonsdata.wustl.edu/research-data/,6331,10.25504/FAIRsharing.1b6e75,"Digital Commons Data@Becker (DCD@Becker) is the institutional data repository for Washington University School of Medicine in St. Louis (WashU Medicine), providing a platform for faculty, staff, students, and trainees at WashU Medicine to share their data and supporting files in compliance with funder and publisher policies. It is administered and maintained by Bernard Becker Medical Library and serves as a generalist repository that accepts all types of data. DCD@Becker supports both open and controlled access. In the case of sensitive data such as data from human participants, controlled access is provided as needed in accordance with informed consent language and guidance from the WashU Human Research Protection Office. Access to data under controlled access requires the requestor’s institution to sign a Data Transfer and Use Agreement (DTUA). For more details on accessing controlled data, please refer to the FAQ document. DCD@Becker is an institutional instance of Mendeley Data—one of the NIH-supported GREI repositories—and meets the desirable characteristics of data repositories for federally funded research recommended by the NIH. To improve dataset metadata quality, data curation is conducted in a controlled manner, with the Becker Data Management and Sharing Team assisting depositors to ensure data adhere to FAIR principles (Findable, Accessible, Interoperable, and Reusable). This includes collecting rich metadata and persistent identifiers (e.g., ORCID IDs, ROR, RRIDs, DOIs for protocols), converting files into open formats (e.g., csv, txt, pdf, tiff), and gathering key documentation such as data dictionaries, README files, codebooks, and survey instruments to support interpretation and reuse. In addition, DCD@Becker supports file sizes up to 100 GB. DCD@Becker uses the DataCite metadata schema and assigns DOIs for all datasets, ensuring they are discoverable online via web search and persistent links. The repository has a robust preservation plan to support long-term access to data. For more information, visit https://digitalcommonsdata.wustl.edu/research-data/ or contact BeckerDMS@wustl.edu.",ready,repository,United States,,,,Washington University in St. Louis School of Medicine,University,Seonyoung Kim; Becker Medical Library Data Management and Sharing Team,seonyoung.kim@wustl.edu; beckerdms@wustl.edu,partially open,controlled,"Digital Commons Data@Becker stores all data in the Amazon S3 (Simple Storage Service) platform to ensure the highest level of integrity and security possible. In addition, all published datasets are backed up with Data Archiving and Networked Services (DANS) to ensure access to them in perpetuity.","BSD 2-Clause ""Simplified""; Apache License 2.0; BSD 3-Clause ""New"" or ""Revised"" License ; Creative Commons Attribution 4.0 International (CC BY 4.0); Creative Commons Attribution-NoDerivatives 4.0 International (CC BY-ND 4.0); Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0); Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International (CC BY-NC-ND 4.0); Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (CC BY-NC-SA 4.0); Creative Commons Attribution-ShareAlike 4.0 International (CC BY-SA 4.0); Creative Commons CC0 1.0 Universal (CC0 1.0) Public Domain Dedication; GNU General Public License (GPL) 2.0; GNU General Public License (GPL) 3.0; GNU Lesser General Public License (LGPL) 3.0; MIT License; Mozilla Public Licence Version 2.0 (MPL 2.0); open, embargoed, restricted",https://opensource.org/licenses/BSD-2-Clause; http://www.apache.org/licenses/LICENSE-2.0; https://opensource.org/licenses/BSD-3-Clause; https://creativecommons.org/licenses/by/4.0/; https://creativecommons.org/licenses/by-nd/4.0/; https://creativecommons.org/licenses/by-nc/4.0/; https://creativecommons.org/licenses/by-nc-nd/4.0/; https://creativecommons.org/licenses/by-nc-sa/4.0/; https://creativecommons.org/licenses/by-sa/4.0/; https://creativecommons.org/publicdomain/zero/1.0/; https://www.gnu.org/licenses/gpl-2.0.html; https://www.gnu.org/licenses/gpl.html; https://www.gnu.org/licenses/lgpl.html; https://opensource.org/licenses/mit; https://www.mozilla.org/en-US/MPL/2.0/; http://www.nsd.uib.no/nsddata/arkivering/en/006_archiving_agreement.pdf,,,https://www.re3data.org/repository/r3d100014557,questionnaire/survey; dataset,Life Science; Translational Medicine; Biomedical Science; Social and Behavioural Science,institutional repository,,0.19251987538131907
Vectorborne Disease Surveillance System,VectorSurv,https://vectorsurv.org/,2954,10.25504/FAIRsharing.8fe1d6,"VectorSurv was formed as a partnership of the Mosquito and Vector Control Association of California, representing more than 60 local mosquito and vector control agencies in California; the California Department of Public Health; and the Davis Arbovirus Research and Training (DART) Lab at the University of California, Davis. In recent years, VectorSurv has expanded to include other states, and the system now serves California, Utah, New Jersey, Hawaii, North Carolina, Tennessee, and the U.S. territory of Guam.",ready,repository,United States,,,,"California Department of Public Health, Sacramento, CA, USA; Davis Arbovirus Research and Training (DART), Davis, CA, USA",Government body; Research institute,General contact,help@vectorsurv.org,open,not found,,California Vectorborne Disease Surveillance Data Policy,https://vectorsurv.org/assets/files/calsurv_data_policy.pdf,,,https://www.re3data.org/repository/r3d100010196,dataset; image,Life Science; Virology; Epidemiology,,,0.19071527601989272
database of Disease-Gene Associations with annotated Relationships,eDGAR,http://edgar.biocomp.unibo.it/,2652,10.25504/FAIRsharing.29EHM2,"The database of Disease-Gene Associations with annotated Relationships (eDGAR) is a database for collecting and organizing the data on gene/disease associations as derived from OMIM, Humsavar and ClinVar. For each heterogeneous or polygenic disease, eDGAR provides information on the relationship among the proteins encoded by the involved genes, including transcription factors and protein-protein interactions.",ready,knowledgebase,Italy,,"Italian Ministry of Education, University and Research (MIUR), Roma, Italy; European Commission FP7",Government body,"Bologna Biocomputing Group, University of Bologna, Italy",University,Pier Luigi Martelli,pierluigi.martelli@unibo.it,open,not applicable,,,,,,,dataset,Biomedical Science,,10.1186/s12864-017-3911-3,0.19017389513412336
Human disease methylation database,DiseaseMeth,http://bio-bigdata.hrbmu.edu.cn/diseasemeth/,1659,10.25504/FAIRsharing.ngme77,"The human disease methylation database, DiseaseMeth is a web based resource focused on the aberrant methylomes of human diseases. Until recently, bulks of large-scale data are avaible and are increasingly grown, from which more information can be mined to gain further information towards human diseases. Our mission is to provide a curated set of methylation information datasets and tools in the human genome, to support and promote research in this area. Especially, we provide a genome-scale landscape to show human methylaton information in a scalable and flexible manner.",deprecated,knowledgebase,China,,"National Natural Science Foundation of China (NSFC), Beijing, China; National Natural Science Foundation of China (NSFC), Beijing, China; State Key Laboratory of Urban Water Resource and Environment, China; National Natural Science Foundation of China (NSFC), Beijing, China",Government body; Undefined,,,,,open,not applicable,,,,,,,dataset,Biomedical Science,,10.1093/nar/gkr1169,0.18978262018307113
National Institute of Mental Health Connectome Coordination Facility Repository,NIMH CCF,https://nda.nih.gov/ccf,3225,10.25504/FAIRsharing.CbLHss,The Connectome Coordination Facility (CCF) processes and distributes public research data for a series of neuroimaging studies that focus on connections within the human brain. These are known as Human Connectome Projects (HCP). The CCF currently supports 19 NIH-funded human connectome studies (see menus above). All data releases from CCF HCP studies are being made available on the NIMH Data Archive.,ready,repository,United States,,"National Institutes of Health (NIH), Bethesda, MD, USA",Government body,"National Institute of Mental Health (NIMH), Bethesda, MD, USA",Government body,NDA Helpdesk,ndahelp@mail.nih.gov,controlled,controlled,,NDA Data Policy,https://nda.nih.gov/about/policy.html,,,https://www.re3data.org/repository/r3d100012657,dataset; image,Life Science; Neurobiology; Biomedical Science; Neuroscience,,,0.1896293252429567
Mitochondrial Disease Sequence Data Resource,MSeqDR,https://mseqdr.org/,2836,10.25504/FAIRsharing.xUkfh7,"The Mitochondrial Disease Sequence Data Resource (MSeqDR) is a centralized genome and phenome bioinformatics resource built by the mitochondrial disease community to facilitate clinical diagnosis and research investigations of individual patient phenotypes, genomes, genes, and variants. It integrates community knowledge from expert‐curated databases with genomic and phenotype data shared by clinicians and researchers.",ready,repository,Italy; Netherlands; United Kingdom; United States,,"United Mitochondrial Disease Foundation; Netherlands Organisation for Scientific Research (NWO), Amsterdam, Netherlands; National Institutes of Health (NIH), Bethesda, MD, USA; National Institutes of Health (NIH), Bethesda, MD, USA; National Institutes of Health (NIH), Bethesda, MD, USA",Government body; Charitable foundation; Research institute,"Netherlands Genomic Initiative; Children's Hospital Los Angeles, United States",Research institute,Marni J. Falk,falkm@email.chop.edu,open,open,,,,,,,dataset,Phenomics; Biomedical Science; Genomics; Medicine,,10.1002/humu.22974; doi:10.1002/humu.23422; 10.1016/j.ymgme.2014.11.016,0.18919571117910083
FluencyBank,,https://fluency.talkbank.org,5574,10.25504/FAIRsharing.ea3062,"FluencyBank is a shared database for the study of fluency development. Participants include typically-developing monolingual and bilingual children, children and adults who stutter (C/AWS) or who clutter (C/AWC), and second language learners.",ready,repository,United States,,National Institutes of Health; National Institute for Deafness and other Communication Disorders,Government body,"University of Maryland Baltimore County; Carnegie Mellon University, Pittsburg, USA",University,Brian MacWhinney; Nan Bernstein Ratner,macw@cmu.edu; nratner@umd.edu,partially open,open,,,,,,,dataset,Clinical Studies; Neuroscience; Social and Behavioural Science; Communication Science,,,0.1889114414907903
Nuclear Receptor Signaling Atlas,NURSA,http://www.nursa.org,2169,10.25504/FAIRsharing.vszknv,"The mission of NURSA is to accrue, develop, and communicate information that advances our understanding of the roles of nuclear receptors (NRs) and coregulators in human physiology and disease.",deprecated,repository,United States,,"Eunice Kennedy Shriver National Institute of Child Health and Human Development; National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK), Bethesda, MD, USA",Government body; Undefined,"Baylor College of Medicine (BCM), Texas, USA",University,Neil McKenna,nmckenna@bcm.edu,not found,not found,,,,,,https://www.re3data.org/repository/r3d100011298; https://scicrunch.org/resolver/RRID:SCR_003287,object type not found,Life Science; Transcriptomics; Biomedical Science; Cell Biology,,10.1210/me.2009-0135; 10.1093/nar/gkj029,0.18870034511442435
Cochrane Library,Cochrane Library,https://www.cochranelibrary.com/,3061,10.25504/FAIRsharing.787faa,"The Cochrane Library is a collection of databases in medicine and other healthcare specialities that contain different types of evidence to inform healthcare decision-making. Data in the Cochrane Library comes from the Cochrane Database of Systematic Reviews (CDSR), the Cochrane Central Register of Controlled Trials (CENTRAL), and Cochrane Clinical Answers (CCA). The Cochrane Library uses a subscription-based model, with many governments purchasing country-wide access. A more limited version of the Library is available for free.",ready,knowledgebase,United Kingdom,,,,"John Wiley & Sons Inc.; Cochrane, London, United Kingdom",Charitable foundation; Publisher,Deborah Pentesco-Murphy,dpentesc@wiley.com,controlled,not found,,Cochrane Library Subscription required for full access; Wiley Online Library Terms of Use,https://www.cochranelibrary.com/help/access; https://onlinelibrary.wiley.com/terms-and-conditions,,,,document; publication; dataset,Clinical Studies; Medical Informatics; Health Science,,,0.18657229593397714
CHD7 Database,CHD7 Database,https://www.chd7.org/,2694,10.25504/FAIRsharing.2c8e7e,"The CHD7 database contains locus-specific, anonymised mutation data on both published and unpublished variants of the CHD7 gene related to the CHARGE syndrome phenotype. It can be searched for patients and their clinical phenotype or for mutations. It can be used as a central, quick reference database for anyone who encounters a variant in the CHD7 gene. Mutations are numbered according to the current reference sequence (GenBank Accession no. NM017780.2).",ready,knowledgebase,Netherlands,,,,"University of Groningen, Netherlands",University,Nicole Corsten-Janssen,charge@umcg.nl,open,open,,,,,,https://www.re3data.org/repository/r3d100012136; https://scicrunch.org/resolver/RRID:SCR_007134,dataset,Molecular biology; Biomedical Science; Biology; Genetics,,10.1002/humu.22086,0.18609733583932841
BRCA Share,BRCA Share,http://www.umd.be/BRCA1/,1676,10.25504/FAIRsharing.w8wbyj,"BRCA Share is a novel gene datashare initiative that provides scientists and commercial laboratory organizations around the world with open access to BRCA Share (formerly UMD-BRCA1) contains BRCA1 and BRCA2 genetic data. The program’s goal is to accelerate research on BRCA gene mutations, particularly variants of uncertain significance, to improve the ability of clinical laboratory diagnostics to predict which individuals are at risk of developing these cancers.",ready,repository,Belgium; France,,"European Commission FP7; Institut National de la Sante et de la Recherche Medicale (INSERM), Paris, France",Government body; Research institute,Quest Diagnostics (United States),Company,General Contact,BRCAShare@QuestDiagnostics.com,controlled,not applicable,,,,,,,dataset,Life Science; Preclinical Studies; Biomedical Science; Genetics; Oncology,,10.1093/nar/gkp215; 10.1002/(SICI)1098-1004(200001)15:1<86::AID-HUMU16>3.0.CO;2-4; 10.1002/humu.20210; 10.1093/nar/gkr1160; 10.1002/humu.20970; 10.1002/humu.23113,0.18472592022144477
PHAROS,,https://pharos.nih.gov/,5708,10.25504/FAIRsharing.52d6ae,"Pharos is the user interface to the Knowledge Management Center (KMC) for the Illuminating the Druggable Genome (IDG) program funded by the National Institutes of Health (NIH) Common Fund. (Grant No. 1U24CA224370-01). The goal of KMC is to develop a comprehensive, integrated knowledge-base for the Druggable Genome (DG) to illuminate the uncharacterized and/or poorly annotated portion of the DG, focusing on three of the most commonly drug-targeted protein families: G-protein-coupled receptors (GPCRs) ; Ion channels (ICs) and Kinases.
",ready,knowledgebase,United States,,National Institutes of Health,Government body,National Center for Advancing Translational Sciences,Research institute,,,open,not applicable,,Pharos License,https://pharos.nih.gov/about,,,,dataset; image,Life Science; Biomedical Science,,10.1093/nar/gkw1072; 10.1093/nar/gkac1033; 10.1093/nar/gkaa993; 10.1002/cpbi.92,0.18461291931889182
Childhood Cancer Data Initiative Hub,CCDI,https://ccdi.cancer.gov/home,5567,10.25504/FAIRsharing.4f77d3,"The Childhood Cancer Data Initiative (CCDI) Hub serves as an entry point for researchers, data scientists, and citizen scientists seeking to utilize and connect with CCDI-related data. It offers information about available tools and applications that align with the CCDI vision, as well as descriptions of resources, each focusing on specific aspects of childhood cancer research.",ready,repository,United States,,National Institutes of Health,Government body,"National Cancer Institute, National Institutes of Health",Government body,Support,NCIChildhoodCancerDataInitiative@mail.nih.gov,partially open,not applicable,,CCDI Data Usage Policies & Terms,https://ccdi.cancer.gov/data-usage-policies,,,,dataset,Pediatrics; Clinical Studies,,,0.18443753227958812
A Comprehensive Database of Published Microbial Signatures,BugSigDB,https://bugsigdb.org,3636,10.25504/FAIRsharing.97da30,"BugSigDB is a Semantic MediaWiki for manually-curated summaries of the design, execution, and signatures resulting from human microbiome studies. It standardizes microbial taxa using the NCBI taxonomy, study conditions using the Experimental Factor Ontology, and sampled body sites using the Uberon Anatomy Ontology. It also collects information on study design, sample size, experimental methods, statistical analysis, and microbial diversity. Data can be viewed on the site or exported for bulk analysis. ",ready,knowledgebase_and_repository,United States,,"National Institutes of Health (NIH), Bethesda, MD, USA",Government body,"The City University of New York, NY, USA",University,Levi Waldron,levi.waldron@sph.cuny.edu,open,controlled,,Open Data Commons Attribution License (ODC-BY) v1.0,http://opendatacommons.org/licenses/by/1.0/,,,,dataset,Taxonomy; Epidemiology; Health Science,,,0.18437277088324966
Seattle Alzheimer's Disease Brain Cell Atlas,SEA-AD,https://portal.brain-map.org/explore/seattle-alzheimers-disease,5596,10.25504/FAIRsharing.250fd6,"The Seattle Alzheimer’s Disease Brain Cell Atlas (SEA-AD) consortium strives to gain a deep molecular and cellular understanding of the early pathogenesis of Alzheimer’s disease. To accomplish this, they are leveraging advances in next-generation single-cell molecular profiling technologies developed through the BRAIN Initiative and at the Allen Institute for Brain Science. They are integrating single-cell profiling technologies with quantitative neuropathology and deep clinical phenotyping through collaboration with the University of Washington Alzheimer's Disease Research Center (ADRC) and Kaiser Permanente Washington Health Research Institute (KPWHRI), to create a multifaceted open data resource. The SEA-AD consortium seeks to understand the cellular and molecular changes that underlie Alzheimer’s disease initiation and progressive cognitive decline, with the ultimate goal of identifying targets for therapeutic intervention.",ready,repository,United States,,National Institutes of Health; National Institute on Aging,Government body,"Allen Institute for Brain Science,  Seattle, WA, USA",Research institute,Support,KPWA.actproposals@kp.org,open,not applicable,,,,,,,dataset,Transcriptomics; Clinical Studies; Neuroscience,Alzheimer’s disease; single cell,10.1101/2023.05.08.539485,0.18435363554230438
Human Salivary Proteome Wiki,HSPW,https://www.salivaryproteome.org/,5565,10.25504/FAIRsharing.af6463,"The Human Salivary Proteome Wiki is a a NIDCR-funded collaborative, community-based Web portal to more than 1,000 unique human saliva proteins identified by high-throughput proteomic technologies. The wiki is available for the research community and the public to harness the knowledge in the data and to further enhance the value of the proteome through addition of their own data. You are very welcome to share your thoughts in the forums; add your own data to the growing database; annotate the proteins; or just explore the site.",ready,knowledgebase,United States,,"National Institutes of Health; National Institute of Dental and Craniofacial Research (NIDCR), Rockville, MD, USA",Government body,"J. Craig Venter Institute (JCVI), La Jolla, CA, USA",Research institute,Stefan Ruhl,shruhl@buffalo.edu,open,open,,,,,,,dataset; image; model,Computational Biology; Clinical Studies; Proteomics,,10.1021/pr700764j,0.18420014628250866
Global Alzheimer's Association Interactive Network,,https://www.gaain.org/,5550,,"The Global Alzheimer’s Association Interactive Network (GAAIN) is a federated Alzheimer’s disease data discovery platform consisting of a diverse and geographically distributed network of Data Partners designed to foster cohort discovery, collaboration and sharing. Researchers can discover clinical, genetic, imaging, and other data collected across many independent studies, build cohorts, perform preliminary analyses, and connect with Data Partners to request full access to data.",ready,repository,United States,,National Institute on Aging,Government body,"Laboratory of Neuro Imaging, University of Southern California",Lab,	Cally Xiao,cally.xiao@loni.usc.edu,partially open,open,,GAAIN Terms of Use,https://gaain.org/terms-of-use,,,,dataset; image,Clinical Studies; Neuroscience,Alzheimer’s disease,,0.1841977700371654
